0,1,2,3,4,5,6,7,8,9,10
tt0059325,Monika Hildebrand,Rolf Römer,Paul Eichbaum,Holger Mahlich,Gesine Rosenberg,Walter Stolp,Werner Kanitz,Ingo Koster,Anita Okon,Ruth Kommerell
tt0059900,Stephan Jahnke,Gerry Wolff,Manfred Krug,Daisy Granados,Rolf Römer,Hanns Anselm Perten,Wolfgang Greese,Günther Simon,Mathilde Danegger,Fred Delmare
tt0065188,Petr Forman,Barbora Lukesová,Jana Riháková,Vlastimil Zavrel,Jirí Hájek,Bretislav Rychlík,Jaroslav Mares,Miroslav Zelenka,Petr Popelka,Eva Holubová
tt0068494,Jason Ledger,Bonnie Sher,Kyoko Masu,Hiroshi Murakawa,Miyuki Yama,Yoshihiro Sakamoto,Clown Kumagoro,Clown Ton,Squeeky the Clown,Okinaya Trio
tt0075259,Michael Petrovitch,Philip Latham,Don Fellows,Michael Gwynn,Nicholas Parsons,Toby Robins,Tessa Wyatt,Derren Nesbitt,Nigel Plaskitt,Ciaran Madden
tt0081721,Tchéky Karyo,Nina Petronzio,Christopher Forrest,Paul Klerk,Vernon Dobtcheff,Andrée Pelletier,Anna-Maria Giannotti,Matthew Mabe,Wally Martin,Michel Maillot
tt0090665,Selim Boughedir,Mustapha Adouani,Rabiah Ben-Abdullah,Mohamed Driss,Hélène Catzaras,Fatma Ben Saïdane,Abdelhamid Guayas,Jamel Sassi,Radhouane Meddeb,Carolyn Chelby
tt0093210,Julio Alemán,Diana Ferreti,José Natera,Carlos Rotzinger,Margarita Narváez,Antonio Raxel,Gloria Chávez,José 'Peluche' González,Naty Samperio,Jorge Barragán
tt0093989,Xiaojian Xu,Rongquan Jia,Yuming Du,Long Zhou,Jiming Chen,Luowen Cui,Yisong Cui,Zhihua Dong,Tianxiang Hu,Bingqiang Huang
tt0094666,John Savage,William Hickey,Mia Sara,Michael Lerner,Ernest Borgnine,Damarob,Tobie Cronje,James Ryan,Jeff Fannell,Robin Smith
tt0094073,Mila Burnette,Joaquim de Almeida,Maria Norman,Norma Candal,Kevin Conway,Alisha Das,José Ferrer,Iris Martinez,Alba Oms,Luis Antonio Ramos
tt0094857,Mike Abbott,Cheuk Yan Chan,Collin Cheung,Kwok Leung Cheung,Lung Fei,Wing-Fu Fok,Phillip Ko,Dan Lau,Chun Lee,Chun-Wah Lee
tt0095840,Roger Rodd,Denise Dougherty,James R. Sweeney,Jean Carol,Charla Driver,George Dunn,Blake Bahner,Ronald Paul Ramirez,Jerry Neal,Ted Buck
tt0096469,Yukari Ôshima,May Mei-Mei Lo,Anglie Leung,Suet-Man Chan,Mark Cheng,Tao Chiang,Jeong-il Choi,Nathan Chukueke,Chi-Yung Chung,Lily Chung
tt0096775,Masum Ali,Sadashiv Amrapurkar,Tinnu Anand,Raj Babbar,Abhay Bhardwaj,Leena Das,Kalpana Divan,Jeetendra,Raju Karia,Ali Khan
tt0096992,Aleksandr Romantsov,Pavel Rudakov,Irina Tsyvina,Yevgeny Barkov,Alla Shelest,Oleg Kovalov,Sergei Lavrentyev,Yuriy Tsapnik,Vladimir Dyatlov,Olga Land
tt0096937,Mikhail Efremov,Marina Zudina,Vladimir Samoylov,Kirill Lavrov,Anatoliy Romashin,Viktor Pavlov,Vladimir Konkin,Gennadiy Frolov,Andrey Smolyakov,Mikhail Golubovich
tt0096025,Hilde Van Mieghem,Josse De Pauw,Johan Leysen,Hilde Wils,Din Meysmans,Mieke Verdin,Koen Theys,Rudy Vandendaele,Ludo Troch,Thomas Vervecken
tt0096174,Anja Sovagovic-Despot,Zarko Lausevic,Miodrag Krivokapic,Mira Furlan,Ivo Gregurevic,Davor Janjic,Zijad Gracic,Vanja Matujec,Tomislav Milanovski,Zlatko Vitez
tt0095902,Tim Battle,Jackson Cole,Janet-Laine Green,Daniel Libman,Valerie Pearson,Esther Purves-Smith,Duncan Regehr,,,
tt0096500,Miroslav Etzler,Ladislav Lakomý,Gustav Opocenský,Jirí Rovenský,Ladislav Frej,Jana Krausová,Borivoj Navrátil,Valérie Zawadská,Frantisek Svihlík,Josef Souchop
tt0096845,Erling Eysturoy,Elin K. Mouritsen,Páll Danielsen,Mikkjal Helmsdal,Birita Mohr,Hjordis Heindriksdóttir,Asa Lützhoft,Sverri Egholm,Elís Poulsen,Egi Dam
tt0097339,Max von Sydow,Carol Drinkwater,Julia Blake,Steve Jacobs,Simone Robertson,Kahli Sneddon,Nicholas Bell,Tim Robertson,Bruce Alexander,Denis Moore
tt0096817,Belinda Becker,Steven Weber,José Esteban Alenda,Justin Williams,Féodor Atkine,Ángela Molina,Cristina Hoyos,Dolors Duocastella,Lloll Bertran,Yolanda Herrero
tt0097129,Rick Hearst,Jon Stafford,Paul L. Smith,Vernon Wells,Cameron Mitchell,Colleen Morris,John Saxon,Simon Poland,Bart Fouche,Steed Taylor
tt0097298,Jon Voight,Armand Assante,Wilford Brimley,Eileen Davidson,Joey Villa,Frankie Valli,Kaye Ballard,John P. Ryan,Eugene Roche,Perri Lister
tt0096752,Hanna Schygulla,Günther Maria Halmer,Daniela Schötz,Robert Dietl,Maria Singer,Karl Friedrich,Otto Tausig,Harry Täschner,Sepp Schauer,Johanna Bittenbinder
tt0097573,Jeff Lester,Adrianne Sachs,Marc Singer,Brian Thompson,Shannon Tweed,John Beck,Tippi Hedren,David Soul,Jack Kehler,Stuart Bird
tt0096763,,,,,,,,,,
tt0097697,János Derzsi,Margó Kiwán,Ildi Deim,Péter Andorai,Gergely Bikácsy,Sándor Deák,Károly Eperjes,Csaba Ferenczi,József Fonyó,Márta Gombai
tt0097802,Marianne Groves,Oleg Yankovskiy,Isabelle Gélinas,Jean-Pierre Darroussin,Bernard Freyd,André Pomarat,Michel Winogradoff,Olivier Pajot,Maryse Deol,Véronique Kapoyan
tt0098144,Luis Fernando Alvés,Christian Vadim,Sophie Renoir,Patxi Bisquert,Raúl Fraire,Fernando Guillén,Fermí Reixach,José María Cañete,José Vivó,Luis Hostalot
tt0097968,Bolek Polívka,Jirí Menzel,Arnost Goldflam,Ivana Chýlková,Evelyna Steimarová,Valérie Kaplanová,Jaromír Hanzlík,Lenka Termerová,Rudolf Hrusínský,Ljuba Skorepová
tt0098139,Carme Elias,Francisco Guijar,Jordi Dauder,Josep Maria Pou,Ona Planas,Francesc Orella,Pep Ferrer,Jaume Comas,La Fura dels Baus,Ricard Borràs
tt0098004,Andrei Bashkirov,Vladimir Bashkirov,Tamerlan Shatayev,Natalya Merts,Vilor Kuznetsov,Vyacheslav Baranov,Ivan Bortnik,Olga Semyonova,Anatoliy Ivanov,Nikolay Pogodin
tt0097833,Malgorzata Piorun,Monika Bolly,Robert Kowalski,Robert Gonera,Maciej Orlowski,Olaf Lubaszenko,Piotr Siwkiewicz,Igor Przegrodzki,Slawomir Sosnierz,Stanislaw Brudny
tt0097106,Anne Teyssèdre,Hugues Quester,Florence Darel,Eloïse Bennett,Sophie Robin,Marc Lelou,François Lamore,,,
tt0096875,Dennis Hopper,Jodie Foster,Dean Stockwell,Vincent Price,John Turturro,Fred Ward,Julie Adams,Tony Sirico,Sy Richardson,Frank Gio
tt0096296,Aleksei Shkatov,Olga Alyoshina,Aleksey Maslov,Sergei Karlenkov,Yuri Lazarev,Tatyana Lavrova,Valentin Nikulin,Albert Filozov,Boris Khmelnitskiy,Antonina Dmitrieva
tt0097115,Juliette Caton,Charlie Sheen,Joanna Clarke,Nicola Stapleton,Jade Magri,Kathryn Ludlow,Jan Rubes,Leslie Caron,Yorgo Voyagis,Laura Betti
tt0096838,Vadim Glowna,Elena Sofia Ricci,Margaret Mazzantini,Massimo Popolizio,Orio Valsangiacomo,Carmen Agustoni,Lucius C. Kuert,,,
tt0096879,Zbigniew Zamachowski,Hanna Polk,Henryk Bista,Maria Chwalibóg,Aleksander Fabisiak,Alfred Freudenheim,Maria Gladkowska,Jan Jankowski,Mieczyslaw Janowski,Elzbieta Jarosik
tt0096984,Lev Borisov,Mikhail Zhigalov,Afanasiy Trishkin,Sergei Parshin,Liya Akhedzhakova,Yelena Kozlitina,Oleg Vavilov,Irina Rakshina,Valentin Bukin,Galina Saburova
tt0097475,Péter Malcsiner,Barbara Hegyi,István Bubik,Gábor Máté,Péter Dóczy,Gábor Kocsó,Teri Földi,Balázs Tardy,Miklós Fábián,Antal Cserna
tt0096883,Ivan Rogers,Brenda Banet,Eddie Beverly Jr.,Tony Cecil,Chris Elbert,W. Randolph Galvin,Rich Komenich,Miki Mathioudakis,Bonnie Paine,Dawn Piercy
tt0098657,Wolf-Dietrich Sprenger,Susanne Lothar,Traugott Buhre,Udo Samel,Mine-Marei Wiegandt,Mathias Gnädinger,Fritz Lichtenhahn,Jan Biczycki,Horst-Joachim Berodt,Axel Milberg
tt0097348,Stephen Chow,Michael Wai-Man Chan,Vivian Chow,Fui-On Shing,Ricky Wong Chun-Tong,Cheong-Wah Chow,Yuk Kee Lau,James Jim-Si Ha,Alan Ng,Danny Lee
tt0096825,Ruth Collins,Robert LaBrosse,Louie Elias,Wayne Camp,Sal Maggiore,Bill Messman,Cristine Frischnertz,John Wessel,Roberta Germaine,Laura Gemser
tt0097738,Héctor Bonilla,Héctor Ortega,María Rojo,Gina Morett,Pedro Armendáriz Jr.,Roberto Cobo,Damián Alcázar,Martha Papadimitriou,Pedro Altamirano,Gabriel Pingarrón
tt0096857,Ute Lemper,Patrick Chesnais,Daniel Mesguich,Philippe Leroy,Rufus,Pierre Clémenti,Jean-Pol Dubois,Frédéric van den Driessche,Christian Charmetant,Géraldine Danon
tt0097049,Dmitriy Kharatyan,Irina Feofanova,Spartak Mishulin,Roman Madyanov,Mikhail Svetin,Aleksandr Belyavskiy,Mikhail Kokshenov,Mentay Utepbergenov,Leonid Kuravlyov,Nina Grebeshkova
tt0097571,Joe Caffrey,Maureen Harold,Dave Hill,Brian Hogg,Sammy Johnson,Joanna Ripley,Amber Styles,,,
tt0098462,Veronica Lang,Terence Alexander,Jenny Runacre,Harvey Ashby,James White,Warrick Grier,Keith Grenville,Norman Coombes,Isabella Bosman,Annie Malan
tt0099034,Laurence Kertekian,Jule Japhet,Mathieu Bauer,Sylvain Cartigny,Guillaume Briat,Nicolas Porte,Cédric Dumond,Emmanuel Mauro,Judith Henry,Marina Golovine
tt0099044,Eddie Murphy,Nick Nolte,Brion James,Kevin Tighe,Ed O'Ross,David Anthony Marshall,Andrew Divoff,Bernie Casey,Brent Jennings,Ted Markland
tt0098278,Monica Vitti,Elliott Gould,Gino Pernice,Catherine Spaak,Carmen Onorati,Pietro De Vico,Daniele Stroppa,Gianni Olivieri,Daniela Rindi,Nella Gambini
tt0097855,Mario Adorf,Martin Huber,Johan Kylén,Alexandra Prusa,Anders Öhrn,,,,,
tt0099240,Sang-min Park,Hyeon-jun Shin,Il-jae Lee,Bang Eun-hee,Hyeong-il Kim,Doo-hong Jung,Hwang Jung-min,Gyeong-ho Kim,Hae-gon Kim,Seung-woo Kim
tt0097769,Al Pacino,Paul Guilfoyle,Joseph Maher,Michael Higgins,Brian Mallon,James Bulleit,,,,
tt0097615,Anna Acerbis,Françoise Arnaud,Pierre Banderet,Jean Besseau,Emmanuelle Chaulet,Maurice Chevit,Philippe Clévenot,Albert Delpy,Velia Di Sabatino,Solveig Dommartin
tt0097851,Mammootty,Thilakan,Karamana Janardanan Nair,Murali,Sreenath,Ravi Vallathol,Jagannatha Varma,Babu Namboothiri,B.K. Nair,Azeez
tt0097863,Doug Self,Joe Tolbe,Emerald Starr,Kutira Decosterd,Vincent Schwickert,James A. Taylor,Carlo Incerto,Jay,Scott Catamas,Renee De Palma
tt0097850,Pedro Armendáriz Jr.,Héctor Ortega,Eduardo López Rojas,Gerardo Quiroz,Lucy Reina,Monica Moray,Xavier Massé,Patricia Páramo,Amelia Zapata,Ángel de la Peña
tt0097848,Inna Churikova,Viktor Rakov,Liubomiras Laucevicius,Aleksandr Shishonok,Dmitriy Pevtsov,Aleksandr Karin,Ivan Kabardin,Vladimir Prozorov,Vladimir Fateyev,Olga Shukshina
tt0097578,Katri Horma,Mari Simm,Tõnu Kilgas,Jüri Krjukov,Rita Raave,Tõnu Raadik,Andres Lepik,Raine Loo,Sulev Luik,Enn Lillemets
tt0097462,Dominique Sanda,Federico Luppi,Leslie Caron,China Zorrilla,Gabriela Toscano,Selva Alemán,Duilio Marzio,Carlos Merola,Juan Palomino,Alejandro Cutzarida
tt0097709,Trond Peter Stamsø Munch,Marika Lagercrantz,Helge Jordal,Liv Heløe,Liv Steen,Espen Skjønberg,John Sigurd Kristensen,Lasse Lindtner,Hildegun Riise,Frank Krog
tt0097912,Blanca Guerra,Enrique Rocha,Alejandro Parodi,Carlos Cardán,Emilio Echevarría,Ana Ofelia Murguía,María Rojo,Víctor Carpinteiro,José Luis Cruz,Jesús Angulo
tt0098542,Jozef Kroner,Boyan Kovachev,Lyuben Chatalov,Lilyana Varbanova,Plamen Sirakov,Rumen Traykov,Andrash Konchaliev,Kalin Arsov,Hristo Domuschiev,Penka Tsitselkova
tt0098658,Peter O'Toole,Colin Firth,Marie Trintignant,Andréa Ferréol,Robert Stephens,Ellen Umlauf,Maria Becker,Walter Gotell,Gottfried John,Michiel Romeyn
tt0098461,Jeetendra,Sanjay Dutt,Jaya Prada,Madhuri Dixit,Kiran Kumar,Goga Kapoor,Tej Sapru,Mahesh Anand,Satish Shah,Kanwarjeet Paintal
tt0098050,Maribel Verdú,José Sazatornil,Juan Diego Botto,Gabino Diego,Miguel Rellán,Francisco Vidal,Juanjo Artero,Concha Leza,Olvido Lorente,José María Lucena
tt0097505,Tara Buckman,Charlie Edwards,Louie Elias,Paul Van Gent,Dan Smith,Sashin Sardot,Julia Deane,Bill Wall,Richard Frank Sume,Robert Alberta
tt0098629,Paulus Manker,Hilde Sochor,Josefin Platt,Sieghardt Rupp,Andrea Eckert,Peter Faerber,Hermann Schmid,Otmar Klein,Arminio Rothstein,Hubert Tscheppe
tt0098405,Ion Arakelov,Anton Bychkov,Viktor Chutak,Igor Donskoy,Aleksandr Fatyushin,Yuriy Kuznetsov,Karim Mirkhadiev,Laimonas Noreika,Mariya Sagaidak,Vasili Tebyrtse
tt0098199,Oliver Reed,Frank Zagarino,Jeff Celentano,Nancy Mulford,Sean Taylor,Norman Anstey,John Cianetti,John Pasternak,Robin Smith,Frank Notaro
tt0098534,Bruno Cremer,Nelly Borgeaud,Julie Jézéquel,Clotilde de Bayser,Laure Marsac,Jean-Pierre Moulin,Jean-Paul Comart,Christian Cloarec,Jean-Michel Portal,Guy Abgrall
tt0098486,Hermann Kopp,Heinrich Ebber,Michael Krause,Eva-Maria Kurz,Angelika Hoch,Nicholas Petche,Susanne Betz,Mark Reeder,Hille Saul,Ades Zabel
tt0098514,Sabine Azéma,Jacques Villeret,Philippe Volter,Lucas Belvaux,Zouc,Claude Bouchery,Christiane Cohendy,Gérard Dauzat,Maryline Even,Jean-Marie Winling
tt0097875,Judit László,Péter Geltz,Károly Eperjes,László Kistamás,Zoltán Varga,János Derzsi,Dorottya Horváth,Denisa Dér,Fajer Khaled,Szabolcs Szilágyi
tt0098532,Kati Outinen,Elina Salo,Esko Nikkari,Vesa Vierikko,Reijo Taipale,Silu Seppälä,Outi Mäenpää,Marja Packalén,Richard Reitinger,Helka Viljanen
tt0099215,Izabela Moldovan,Mircea Diaconu,Carmen Galin,George Mihaita,Alina Izvoranu,Diana Lupescu,Luminita Gheorghiu,Maria Ploae,Ileana Stana Ionescu,Petricia Nicolae
tt0098606,Roberto Benigni,Paolo Villaggio,Nadia Ottaviani,Marisa Tomasi,Angelo Orlando,Sim,Syusy Blady,Dario Ghirardi,Dominique Chevalier,Nigel Harris
