Carlos A. Cabarcas,No data,"['Beer for My Horses', 'Not Forgotten', 'The Naked Ape', 'Susan Hero']","['Reparto', 'Producción']",Sin oscar
Anthony Rosselli,1959,"['Urgencias', '2002 • 1 episodio', 'Desk Sergeant', 'Serie de TV', '4,9']",['Reparto'],Sin oscar
Kapil Kaustubh Sharma,No data,"['Lights! Camera! Murder!', 'Dunno Y3', 'Guion', '2015']","['Guion', 'Reparto', 'Dirección']",Sin oscar
Amardeep Jha,No data,[''],['Reparto'],Sin oscar
Sally Sheridan,1947,[''],"['Reparto', 'Agente de talentos']",Sin oscar
Chris O'Donnell,1970,[''],"['Reparto', 'Producción', 'Dirección']",Sin Oscar
Gerrit,1949,[''],"['Reparto', 'Guion', 'Arte']",Sin oscar
Iliana Kitanova,1967,"['Otkradnati ochi', 'A sega nakade?', 'Lagerat', 'Zhivi komini']",['Reparto'],Sin oscar
Rajan P. Dev,1954,[''],"['Reparto', 'Dirección']",Sin oscar
Sean Young,1959,[''],"['Reparto', 'Equipos adicionales', 'Dirección']",Sin Oscar
Samuel L. Jackson,1948,[''],"['Reparto', 'Producción', 'Equipos adicionales']",Nominado para 1 premio Óscar
David Pasquesi,No data,[''],"['Reparto', 'Guion', 'Dirección']",Sin Oscar
Walter Dickerson,No data,"['Blood Machines', 'Where Horses Go to Die', 'La ex-mujer de mi vida', 'Tout de suite maintenant']",['Reparto'],Sin oscar
Peter Riegert,1947,[''],"['Reparto', 'Dirección', 'Guion']",Nominado para 1 premio Óscar
Chooye Bay,No data,"['Skyfall', 'Vampire Academy', 'La parte de los ángeles', ""Bridget Jones' Baby""]",['Reparto'],Sin oscar
Pierre Palmade,1968,"['Astérix y Obélix contra César', 'Le grand restaurant', '2010–2022 • 4 episodios', '2001', '1996']","['Reparto', 'Guion', 'Dirección']",Sin oscar
Nathalie Corré,No data,"['Divorces!', 'Héroïnes', '2017 • 2 episodios', '2013', '2004']","['Reparto', 'Guion']",Sin oscar
Ganesh Manjrekar,No data,['Shwaas'],['Reparto'],Sin oscar
Stribor Kusturica,No data,"['Todos los niños invisibles', 'Blyuz-kafe', '6,4', '7,5']","['Reparto', 'Composición', 'Guion']",Sin oscar
Dino Abbrescia,1966,[''],"['Reparto', 'Dirección de la segunda unidad o asistencia a dirección']",Sin Oscar
Pranathi,No data,"['Gambeeram', 'Local Dada', '6,3', 'Reparto']",['Reparto'],Sin oscar
Anna Mihalcea,No data,"['Juste un peu de réconfort...', '2004', '2004', '2008', '2011']",['Reparto'],Sin oscar
Kabir Bedi,1946,[''],"['Reparto', 'Guion']",Sin Oscar
Hiam Abbass,1960,[''],"['Reparto', 'Dirección', 'Equipos adicionales']",Nominado para 1 premio Primetime Emmy
Jonny Lee Miller,1972,[''],"['Reparto', 'Dirección', 'Producción']",Sin Oscar
Libby Langdon,No data,[''],"['Reparto', 'Producción']",Sin oscar
Rodrigo Mejía,1975,"['Cuidado con el ángel', '2008 • 48 episodios', '2003', 'Rogelio Cervantes-Bravo', 'Serie de TV']",['Reparto'],Sin oscar
Pete Tong,1960,[''],"['Música', 'Producción', 'Reparto']",Sin Oscar
Xhevdet Jashari,No data,"['Out of Touch', 'Bal-Kan-Kan', 'Shtate Dite', 'El hombre más feliz del mundo']",['Reparto'],Sin oscar
Josip Culjak,No data,"['Der Imagonaut', 'Stepan', '2004', '2014']",['Reparto'],Sin oscar
Daniel Langlet,1945,[''],['Reparto'],Sin oscar
Andrew Rothenberg,1969,[''],"['Reparto', 'Equipos adicionales']",Sin oscar
Rafael Marziano Tinoco,1956,"['El camino de las hormigas', 'Historias pequeñas', 'Swing con son', 'Deszcz', '1986']","['Dirección de fotografía y cámara', 'Dirección', 'Guion']",Sin Oscar
José Juan Meraz,No data,"['eXXXorcismos', 'El Señor de los Cielos', '2014–2017 • 164 episodios', '2007', '2007']","['Reparto', 'Guion']",Sin oscar
Lisa Ann Walter,agosto,[''],"['Reparto', 'Producción', 'Guion']",Sin Oscar
Railey Valeroso,No data,[''],['Reparto'],Sin oscar
Berndt Stübner,1947,"['Hochzeitsnacht im Regen', 'Weil ich dich liebe', 'Student', '1979']",['Reparto'],Sin oscar
Ed Grady,1923,"['El diario de Noa', 'Lolita de Adrian Lyne', 'Un golpe del destino', 'No sin mi hija']",['Reparto'],Sin oscar
Himari Murayama,No data,"['Male Fantasy', 'Bushido', '2005', '2003']",['Reparto'],Sin oscar
Aboozar Javanmard,No data,['Nahf'],['Reparto'],Sin oscar
Helen Mahmastol,No data,['Täna öösel me ei maga'],['Reparto'],Sin oscar
Alysson Paradis,1982,[''],['Reparto'],Sin Oscar
Aleksandr Malokanov,No data,"['Geroy eyo romana', 'Okkupatsiya. Misterii', 'Yubiley prokurora', 'Detektiv po-russki']","['Reparto', 'Cámara y electricidad']",Sin oscar
Carl Darchuk,No data,"['Beautysleep Symphony', 'Tringled', 'Hancock', 'Satan(as Carl Darchuck)']","['Reparto', 'Dirección', 'Guion']",Sin oscar
Daniel Fettig,No data,No data,No data,Sin oscar
Jane Hogarth,No data,"['Millones', 'Hollyoaks', '2008–2013 • 9 episodios', 'Childminder', 'Miniserie de TV']",['Reparto'],Sin oscar
Hanna Kinnunen,1980,"['Salatut elämät', '2006–2023 • 712 episodios', '2004', 'Salla Mattila(as Hanna Karjalainen)', 'Helena(as Hanna Karjalainen)']","['Reparto', 'Banda sonora']",Sin oscar
Ruby Porat Shoval,1957,[''],"['Reparto', 'Guion']",Sin oscar
Matthew James,No data,[''],"['Reparto', 'Guion', 'Producción']",Sin Oscar
Paul Walker,1973,[''],"['Reparto', 'Producción', 'Equipos adicionales']",Sin Oscar
Min-seo Chae,1981,[''],['Reparto'],Sin oscar
Kota Srinivasa Rao,1944,[''],"['Reparto', 'Música', 'Banda sonora']",Sin Oscar
Péter Kokics,1977,"['Love, Death & Robots', '2019 • 1 episodio', '2007', '2000', '2009']","['Reparto', 'Efectos visuales']",Sin oscar
Bill Kerr,1922,[''],['Reparto'],Sin Oscar
Eddie Rouse,1954,[''],"['Reparto', 'Guion', 'Dirección de fotografía y cámara']",Sin Oscar
Raissa Fleming,No data,"['Mean Creek', 'El fugitivo. La caza continúa', '2000 • 1 episodio', 'Rachel', ""Rita's Mom""]",['Reparto'],Sin oscar
Omarion,1984,[''],"['Reparto', 'Composición', 'Producción']",Sin Oscar
Christoffer Lossius,No data,"['Observasjon', '2022', 'Dirección', 'Serie de TV', '7,5']","['Dirección', 'Guion', 'Reparto']",Sin Oscar
George Jackos,No data,[''],['Reparto'],Sin oscar
Kyle MacLachlan,1959,[''],"['Reparto', 'Dirección', 'Banda sonora']",Nominado para 2 premios Primetime Emmy
Jacques Collard,1931,"['La novena puerta', 'Au théâtre ce soir', '1984 • 1 episodio', ""Le vieil huissierL'huissier de Sartine"", 'Gardien Marianne']","['Reparto', 'Guion']",Sin oscar
Tricia Hale,No data,"['Sunflower', 'Basilisco, el rey de las serpientes', '2006', 'Animación', 'Serie de TV']","['Animación', 'Arte', 'Edición']",Sin oscar
Steven Pasquale,1976,[''],"['Reparto', 'Producción']",Sin oscar
Cynthia Ashperger,1963,[''],['Reparto'],Sin Oscar
Hyun-Sung Jang,1970,[''],"['Reparto', 'Banda sonora']",Sin Oscar
Paradime,No data,"['Los reyes del crimen', 'Los malditos, vampiros del desierto', 'Cut/Print', 'The Brewster Project']","['Reparto', 'Banda sonora']",Sin oscar
Benjamin Campbell,No data,"['Dickensian', '2015–2016 • 8 episodios', '2005', 'Harry', 'Miniserie de TV']","['Reparto', 'Edición', 'Equipos adicionales']",Sin oscar
Jeong Gyu-su,1957,[''],['Reparto'],Sin oscar
David Shih,No data,[''],['Reparto'],Sin oscar
Michael Rose,No data,[''],['Reparto'],Sin Oscar
