0,1,2,3,4
Baharum Abdu,No data,['Alexander Jamieson'],['Reparto'],Sin oscar
Consuelo Castillo,1954,"['Fiebre latina', 'Romance Theatre', 'The Dodge Dancing Party', '1974–1979 • 3 episodios', '1984']","['Reparto', 'Banda sonora']",Sin oscar
Isabelle Gory,No data,"['The Perfect Mistress II', '6,4', 'Baroness']",['Reparto'],Sin oscar
Uttar Kumar,1973,[''],"['Reparto', 'Dirección', 'Guion']",Sin oscar
Akansha Solanki,No data,['Love You Yaar'],['Reparto'],Sin oscar
Erica Ash,septiembre,[''],"['Reparto', 'Producción']",Sin Oscar
Annie Ilonzeh,1983,[''],"['Reparto', 'Producción']",Sin oscar
Srinivasa Prabhu,No data,"['Bimba - Aa Tombatthu Nimishagalu (Bimba - Those Ninety Minutes)', '9,3']","['Reparto', 'Dirección', 'Guion']",Sin oscar
Thomas Coumans,1984,[''],['Reparto'],Sin oscar
Desiree Akhavan,1984,[''],"['Dirección', 'Reparto', 'Guion']",Sin Oscar
Anna Burgess,2004,"['La Liga de la Justicia de Zack Snyder', 'Liga de la Justicia', 'En la playa de Chesil', ""Stewart Lee's Comedy Vehicle"", '2016 • 1 episodio']",['Reparto'],Sin oscar
Sana Rostom,No data,"['Hams Al-Maâ', 'Min Ayna Nabda?']",['Reparto'],Sin oscar
Jonathan Raggett,1992,[''],['Reparto'],Sin Oscar
Richard Gleason,No data,[''],"['Reparto', 'Guion', 'Dirección']",Sin oscar
Michael Petrone,No data,[''],"['Reparto', 'Guion', 'Edición']",Sin oscar
Lavetta Cannon,septiembre,[''],"['Edición', 'Producción', 'Reparto']",Sin oscar
Amitabh Bachchan,1942,[''],"['Reparto', 'Producción', 'Guion']",Sin Oscar
Randy Tumbleweed Smith,No data,"['Alerta máxima', ""Don't Miss the Bus"", ""Tinker'"", 'The Death of Dick Long']","['Reparto', 'Producción', 'Equipos adicionales']",Sin oscar
Tamara Duarte,1991,[''],"['Reparto', 'Producción']",Sin Oscar
Ashlee Keating,1993,[''],"['Reparto', 'Composición', 'Música']",Sin oscar
Rick Fox,1969,[''],"['Reparto', 'Producción']",Sin Oscar
Sarah Rose Butler,No data,[''],['Reparto'],Sin oscar
Ariel White,No data,"['Finding the Archibald', '2021 • 2 episodios', 'Producción', 'Serie de TV', 'Serie de TV']","['Producción', 'Edición', 'Dirección']",Sin oscar
Quincy Dunn-Baker,mayo,[''],"['Reparto', 'Equipos adicionales']",Sin oscar
Anita Nicole Brown,No data,[''],"['Reparto', 'Producción', 'Especialistas']",Sin Oscar
Heather Lind,1983,[''],"['Reparto', 'Producción']",Sin Oscar
Luis Gatica,1961,"['Rubí', '2004 • 107 episodios', 'Procurador', 'Serie de TV', 'Diablo']",['Reparto'],Sin oscar
Thomas Kretschmann,1962,[''],['Reparto'],Sin Oscar
Balachandran Chullikadu,No data,[''],"['Reparto', 'Música', 'Guion']",Sin oscar
Aneurin Barnard,1987,[''],"['Reparto', 'Música', 'Banda sonora']",Sin Oscar
Cida Moreira,1951,[''],"['Reparto', 'Banda sonora']",Sin Oscar
Sam Chittenden,No data,"['Strangers Within', 'The Cutting Room', 'Media Studies']",['Reparto'],Sin oscar
Mike Rad,No data,[''],"['Reparto', 'Guion', 'Producción']",Sin Oscar
