0,1,2,3,4,5,6,7,8,9,10
tt15686024,Togo,Movie,Drama,2022,10.0,NO DATA,"['tt15686024', 'Diego Alonso', 'Catalina Arrillaga', 'Josef Cannon', 'Camille Cote', 'Rogelio Gracia', 'Elaine Lacey', 'Yumarie Morales', 'José Pagano', 'Jorge Temponi']",[],"Los narcos de poca monta están copando las calles y extorsionando a los cuidacoches para que trabajen para ellos. Pero uno, Togo, resistirá hasta las últimas consecuencias para cuidar su territorio y a los vecinos de la violencia.",Formato min incorrecto
tt15685998,The Division,Movie,Drama,2022,,NO DATA,"['tt15685998', 'Costas Mandylor', 'Barbara Nedeljakova', 'Jana Kaderabkova', 'John Wells', 'Hussain Ahmad', 'Tom Tidiman', 'Krystyn Sayre', 'Steven Robert Alexander', 'Aryan Joshi', 'Marlee Alexander']",[],"When a racist Muslim cop, Ali, gets a new rookie partner, they must work together and put their differences aside to clean up the streets of their town. Unbeknownst to Ali, a secret injustice from years before is about to resurface.",90
tt15692286,"Max, Min and Meowzaki",Movie,Drama,2022,,NO DATA,"['tt15692286', 'Nafisa Ali', 'Vidhatri Bandi', 'Mandira Bedi', 'Adil Hussain', 'Nassar', 'Samiksha Oswal', 'Gitanjali Rao', 'Rupak Saluja', 'Medha Shankar']",[],"A story about folks, feelings and felines.",147
tt15699148,Pyali,Movie,Drama,2022,7.0,NO DATA,"['tt15699148', 'Barbiee Sharma', 'George Jacob', 'Arjun', 'Sanjay Chandran', 'Usha Elizabeth', 'Hussain', 'Jennifer', 'Ann Marie Joseph', 'Babu Joseph', 'Teenu Joseph']",[],Story of two young siblings compassion for each other and how they overcome obstacles in life.,117
tt15703238,Índia,Movie,Drama,2022,,NO DATA,"['tt15703238', 'Pedro Inês', 'Denise Fraga', 'José Manuel Mendes', 'João Carvalho', 'Lídia Franco', 'Maria João Pinho', 'Teresa Madruga', 'Maria Emília Correia', 'Américo Silva', 'Manuela Pedroso']",[],"Tiago, a tour guide, has had his heart broken. With his father, an old sailor, and his teenage son, he will take a melancholic Brazilian tourist on a tour through defeat and grief.",123
tt1655389,Blonde,Movie,Drama,2022,9.0,NO DATA,"['tt1655389', 'Ana de Armas', 'Lily Fisher', 'Julianne Nicholson', 'Tygh Runyan', 'Michael Drayer', 'Sara Paxton', 'Ryan Vincent', 'Vanessa Lemonides', 'Patrick Brennan', 'Rob Brownstein']",[],Una crónica ficticia de la vida interior de Marilyn Monroe.,123
tt1657865,Dear Zoe,Movie,Drama,2022,11.0,NO DATA,"['tt1657865', 'Sadie Sink', 'Theo Rossi', 'Jessica Capshaw', 'Justin Bartha', 'Kweku Collins', 'Vivien Lyra Blair', 'Mckenzie Noel Rusiewicz', 'Tanyell Waivers', 'Sophie Guest', 'Emmy James']",[],"Cuando Tess y su familia sufren una pérdida inimaginable, encuentra el apoyo de una fuente sorprendente: su padre biológico.",123
tt1745960,Top Gun: Maverick,Movie,Drama,2022,5.0,NO DATA,"['tt1745960', 'Tom Cruise', 'Jennifer Connelly', 'Miles Teller', 'Val Kilmer', 'Bashir Salahuddin', 'Jon Hamm', 'Charles Parnell', 'Monica Barbaro', 'Lewis Pullman', 'Jay Ellis']",[],"Después de más de treinta años de servicio como uno de los mejores aviadores de la Armada, Pete Mitchell está donde pertenece, forzando los límites como valiente piloto de pruebas y esquivando el avance de rango que lo dejaría en tierra.",123
tt1798632,Firestarter,Movie,Drama,2022,5.0,NO DATA,"['tt1798632', 'Zac Efron', 'Ryan Kiera Armstrong', 'Sydney Lemmon', 'Michael Greyeyes', 'Gloria Reuben', 'Kurtwood Smith', 'John Beasley', 'Tina Jung', 'Hannan Younis', 'Gavin Maciver-Wright']",[],Una joven trata de entender cómo obtuvo misteriosamente el poder de prender fuego a las cosas con su mente.,NO DATA
tt1877830,The Batman,Movie,Drama,2022,3.0,NO DATA,"['tt1877830', 'Robert Pattinson', 'Zoë Kravitz', 'Jeffrey Wright', 'Colin Farrell', 'Paul Dano', 'John Turturro', 'Andy Serkis', 'Peter Sarsgaard', 'Barry Keoghan', 'Jayme Lawson']",[],"Cuando Enigma, un sádico asesino en serie, comienza a asesinar a las principales figuras políticas de Gotham, Batman se ve obligado a investigar la corrupción oculta de la ciudad y a cuestionar la participación de su familia.",NO DATA
