tt0079644,Slamet Rahardjo,Rachmat Hidayat,Sardono W. Kusumo,El Manik,Jenny Rachman,Maruli Sitompul,Soerip,Mang Udel,,
tt0118578,Govinda,Aishwarya Rai Bachchan,Jackie Shroff,Namrata Shirodkar,Saeed Jaffrey,Maya Alagh,Renuka Israni,Kiran,Sanjay Mishra,Dinyar Tirandaz
tt0119004,Scott Bloom,Kevin Connolly,Tobey Maguire,Leonardo DiCaprio,Jenny Lewis,Meadow Sisto,Marissa Ribisi,Amber Benson,Andre Berryman,John Brooks
tt0118589,Mariah Carey,Eric Benét,Max Beesley,Da Brat,Tia Texada,Valarie Pettiford,Ann Magnuson,Terrence Howard,Dorian Harewood,Grant Nickalls
tt0120624,Maria João Luís,Virgílio Castelo,Filipe Ferrer,Cândido Ferreira,José Wallenstein,Ana Nave,Adriano Luz,José Meireles,João Lobo,Alexandra Leite
tt0120807,John Cullum,Eddie Thiel,Tyler Miller,Jason James Richter,Kate Hudson,Douglas Spain,Richard Zavaglia,Sheila Goold,T. Jay O'Brien,Matthew Glave
tt0120737,Elijah Wood,Ian McKellen,Orlando Bloom,Sean Bean,Alan Howard,Noel Appleby,Sean Astin,Sala Baker,Billy Boyd,Andy Serkis
tt0120824,Kevin Spacey,Julianne Moore,Judi Dench,Cate Blanchett,Pete Postlethwaite,Scott Glenn,Rhys Ifans,Gordon Pinsent,Jason Behr,Larry Pine
tt0132245,Sylvester Stallone,Kip Pardue,Til Schweiger,Burt Reynolds,Stacy Edwards,Gina Gershon,Estella Warren,Cristián de la Fuente,Brent Briscoe,Robert Sean Leonard
tt0138856,Dallas Campbell,Marc Bolton,Anthony Straeger,Joseph C. Sullivan,,,,,,
tt0139654,Denzel Washington,Ethan Hawke,Scott Glenn,Tom Berenger,Harris Yulin,Raymond J. Barry,Cliff Curtis,Dr. Dre,Snoop Dogg,Macy Gray
tt0145467,David Field,Syd Brisbane,Hebe,Les Andrews,Billy,Zorba,Rob Testa,Craig Willis,,
tt0151685,Eliana Alexander,Gina Alvarez,Francisco Aragon,Yeniffer Behrens,Jhoanna Flores,Tony Genaro,Annette M. Lesure,Betsy Licon,Jeffrey Licon,Alex Meneses
tt0152083,Sonia Bergamasco,Giorgio Caputo,Elisabetta Carta,Angelo Casadei,Marcello Catalano,Rosalinda Celentano,Teco Celio,Luciano Filippi,Fabrizio Gifuni,Mariangela Melato
tt0157583,Dougray Scott,Kate Winslet,Saffron Burrows,Jeremy Northam,Nikolaj Coster-Waldau,Tom Hollander,Donald Sumpter,Matthew Macfadyen,Richard Leaf,Ian Felce
tt0157007,John Mellencamp,Terrylene,Michael Zelniker,Louise Fletcher,Billy Burke,Michael Twaine,Kristen Royal,Mark S. Almekinder,Dea Lawrence,Charlie Smith
tt0159378,John E. Vitali,Susan Blake,Robert Pascucci,Tony Devon,Freddie Ganno,Bryan Donoghue,Jamie Lokoff,Claudio Baccile,Claire Furia Smith,Monique Marissa Lukens
tt0159273,Gene Hackman,Owen Wilson,Gabriel Macht,Charles Malik Whitfield,Joaquim de Almeida,David Keith,Olek Krupa,Vladimir Mashkov,Marko Igonda,Eyal Podell
tt0160275,John Kani,Jan Ellis,Vusi Kunene,David S. Lee,Liezel van der Merwe,Mpho Lovinga,Marcel van Heerden,Regardt van den Bergh,Marius Weyers,Bruce Marchiano
tt0160399,Shane Brolly,Vincent D'Onofrio,Gary Sinise,Madeleine Stowe,Tony Shalhoub,Tim Guinee,Mekhi Phifer,Gary Dourdan,Lindsay Crouse,Elizabeth Peña
tt0160816,Darren Bell,Charlie Hardwick,Brian Hogg,Katja Roberts,Bill Speed,,,,,
tt0160480,Susannah Todd,Kent Burnham,Edgar Garcia,Tina Horii,Erika Gardner,David Alan Graf,Amy Lyndon,Joan Newmark,Rebecca Brooks,Michael Haddad
tt0162346,Steve Buscemi,Thora Birch,Scarlett Johansson,Brad Renfro,Illeana Douglas,Bob Balaban,Stacey Travis,Charles C. Stevenson Jr.,Dave Sheridan,Tom McGowan
tt0161860,Juliane Köhler,Merab Ninidze,Matthias Habich,Sidede Onyulo,Lea Kurka,Karoline Eckertz,Gerd Heinz,Hildegard Schmahl,Maritta Horwarth,Regine Zimmermann
tt0163764,Todd Field,Craig Sheffer,Daniel Baldwin,Michael T. Weiss,Tara Wood,Alix Koromzay,Pamela Adlon,Eric Artell,Luke Burton,Scott Ditty
tt0163596,G. Patrick Currie,Holly Ferguson,Ron Sauvé,Kathleen Duborg,Helen Graham,Kyla Natho,Dmitry Chepovetsky,Tricia Maras,Fred Keating,Marek Wiedman
tt0164334,Morgan Freeman,Michael Wincott,Monica Potter,Dylan Baker,Mika Boorem,Anton Yelchin,Kim Hawthorne,Jay O. Sanders,Billy Burke,Michael Moriarty
tt0165713,Guilford Adams,Robin Christian-McNair,Edi Patterson,Terri Marshall-Schrader,Laura Neuhaus,Alan Ray,Derek Sisson,Matthew Cook,Johnathan Gwyn,Cyril Lavender
tt0166186,Jamie Sinsz,Zak Jeffries,Natalie Roers,Michael Caloia,Steve Thomas,Kara Webb,Christopher Cridler,Brian Gunning,Cara Cylus,Harry Rossen
tt0166158,Billy Bob Thornton,Laura Dern,Diane Ladd,Kelly Preston,Andy Griffith,Sandra Seacat,John Prine,Jeff Bailey,Jim Varney,Brenda Blethyn
tt0166709,Reginaldo Faria,Marcos Caruso,Petrônio Gontijo,Stepan Nercessian,Sonia Braga,Otávio Müller,Viétia Zangrandi,Debora Duboc,Walmor Chagas,Nilda Spencer
tt0167360,Alex D. Linz,William Atherton,James Woods,Annabeth Gish,Wesley Mann,Patrick Richwood,William Devane,Mark Moses,Michael Tylo,Scott Thompson Baker
tt0169102,Aamir Khan,Raghubir Yadav,Gracy Singh,Rachel Shelley,Paul Blackthorne,Suhasini Mulay,Kulbhushan Kharbanda,Rajendra Gupta,Rajesh Vivek,Shri Vallabh Vyas
