tt0096056,Crispin Glover,Vanessa Redgrave,John Hurt,Margot Kidder,John Neville,Sophie Ward,Richard Lynch,Patricia Hayes,Matt Servitto,Theodore Bikel
tt0118926,Javier Bardem,Laura Morante,Juan Diego Botto,Elvira Mínguez,Alexandra Lencastre,Oliver Cotton,Luís Miguel Cintra,Javier Manrique,Abel Folk,Marie-Anne Berganza
tt0119980,Barbara Lindsay,Michael Dempsey,Zachary Levin,Shan Makor Prum,Leah Grant,Julie Berke,Dale Godboldo,Peter Simmons,Jane Leigh Connelly,Skye Renfro
tt0120679,Salma Hayek,Alfred Molina,Geoffrey Rush,Mía Maestro,Amelia Zapata,Alejandro Usigli,Diego Luna,Lucia Bravo,Valeria Golino,Patricia Reyes Spíndola
tt0130255,Biju Menon,Saikumar,Murali,N.F. Varghese,Gopika Anil,Kousalya,Subair,Ratheesh,Babu Namboothiri,T.P. Madhavan
tt0149253,Roy Scheider,Robert Farrior,Luca Zingaretti,Vincent Riotta,Sue Cremin,Charles Fathy,Giampiero Judica,Luciano Miele,Mario Opinato,Asya Chakarova
tt0160240,Jodie Markell,Barry Del Sherman,Sean Runnette,Max Wright,Lonnie Ray Senstock,,,,,
tt0162862,Manuel Wiborg,Lia Gama,Sylvie Rocha,Paulo Claro,Isabel Muñoz Cardoso,Marco Delgado,Ivo Canelas,Joana Bárcia,Ana Nave,António Pedro Cerdeira
tt0161088,Johnny Green,James Andronica,Jonathan Avildsen,Merced Bacon,Don 'Tex' Clark,Lysa Flores,Allen Garfield,Alison Lohman,Romany Malco,Eddie Martinez
tt0162838,Penelope Allen,Erick Avari,Alimi Ballard,Joey Bilow,Bruce Bohne,Robert Casserly,Laurie Coleman,Chuck Cooper,Blythe Danner,Peter Falk
tt0164184,Ben Affleck,Morgan Freeman,Ian Mongrain,Russell Bobbitt,James Cromwell,Ken Jenkins,Bruce McGill,John Beasley,Philip Baker Hall,Al Vandecruys
tt0164003,Matt Dillon,James Caan,Natascha McElhone,Gérard Depardieu,Kem Sereyvuth,Stellan Skarsgård,Rose Byrne,Shawn Andrews,Chalee Sankhavesa,Christopher Curry
tt0165361,Kimberley Kates,Jared Leto,Jake Gyllenhaal,Selma Blair,John C. McGinley,Jeremy Piven,Arden Myrin,Mark Rolston,Jarret Thomas,Stephen Shellen
tt0165832,James Marsden,Gary Oldman,Kurt Russell,Matthew Edison,Paul Brogren,Wayne Robson,Michael J. Fox,Melyssa Ade,John Bourgeois,Roz Michaels
tt0166813,Matt Damon,James Cromwell,Daniel Studi,Chopper Bernet,Jeff LeBeau,John Rubano,Richard McGonagle,Matt Levin,Adam Paul,Robert Cait
tt0168786,Denzel Washington,Derek Luke,Joy Bryant,Malcolm David Kelley,Cory Hodges,Salli Richardson-Whitfield,Leonard Earl Howze,Kente Scott,Kevin Connolly,Rainoldo Gooding
tt0167261,Elijah Wood,Ian McKellen,Viggo Mortensen,Orlando Bloom,Bruce Allpress,Sean Astin,John Bach,Sala Baker,Cate Blanchett,Billy Boyd
tt0175203,Federico Luppi,Icíar Bollaín,Gabino Diego,Ana Padrão,Diogo Infante,Antonia San Juan,Rebeca Tébar,Simon Chandler,Marques D'Arede,Manuel Galiana
tt0175557,Rogério Samora,Alexandra Lencastre,Rui Morisson,Isabel Ruth,Milton Lopes,Miguel Guilherme,Rita Loureiro,José Pinto,Márcia Breia,Alexandre de Sousa
tt0176185,Danielle Ciardi,Neil Dickson,Max Parrish,Michelle Ruben,Katherine Randolph,Lyle Skosey,Ned Goodwin,Niki Pervine,Stephanie Chao,Stephen Bradstreet
tt0179098,Jake Gyllenhaal,Dustin Hoffman,Susan Sarandon,Alexia Landeau,Richard Messing,Lev Friedman,Bob Clendenin,Jim Fyfe,Mary Ellen Trainor,Richard Fancy
tt0184387,Blake Biddulph,Mila Calic,Luke Townsend,Dipika Guha,Ardina Anuar,Isa Yahya,Katherine Coetzee,Phelim Rowe,Eugenie Coetzee,Cato Pastoll
tt0184719,Mariam Parris,David Ackert,Shaun Toub,Shohreh Aghdashloo,Maz Jobrani,Victor Jory,Sabine Singh,Michael Blieden,Jason Nash,Goli Samii
tt0191074,Taye Diggs,Dominique Swain,Mia Kirshner,Meredith Monroe,Scott Bairstow,Rachel True,Glynnis O'Connor,Joanna Canton,Eric Michael Cole,Oliver Hudson
tt0190938,Tom Sizemore,Sherilyn Fenn,David Foley,Conrad Pla,Alain Goulem,Alan Fawcett,Kenneth McGregor,Katie Griffin,Danny Wells,Genevieve Sabourin
tt0191161,Filipe Carvalho,Alexandra Antunes,Amaral Matos,Luís Sarmento,Marco D'Almeida,Teresa Madruga,Carla Bolito,Alberto Magassela,Ana Magaia,António Fonseca
tt0194143,Tia Carrere,David Charvet,Nia Vardalos,Vincent Angell,Ian Gomez,Drea de Matteo,Marnie Pomerantz,Hannes Jaenicke,Boyd Banks,Jason Barbeck
tt0193545,Kim Huffman,Joel Bissonnette,Ben Immanuel,Justin Pierce,Darcy Belsher,Molly Parker,Gabriel Gascon,Guy Sprung,Alain Goulem,Danielle Desormeaux
tt0197448,Alexandra Lencastre,Teresa Roby,Rogério Samora,João Lagarto,Suzana Borges,Adriano Luz,Rita Blanco,Orlando Costa,Maria João Abreu,Luís Alexandre
tt0199007,Kim Yates,Rick Majeske,Nikki Fritz,Everett Rodd,Ahmo Hight,Michelle von Flotow,Taimie Hannum,Nicholas Franklin Bray,Steve Curtis,Pam Loe
tt0202457,Giorgio Faletti,Massimo Wertmüller,Ugo Piva,Gianfranco Jannuzzo,Enrico Gallì,Giusi Cataldo,Danila Stalteri,Lele Nucera,Francesco Venditti,Totò Crescenzi
tt0202416,Fiorello,Dario Fo,Maurizio Mattioli,Renato Cecchetto,Stefano De Sando,Melina Martello,Ilaria Stagni,Francesco Vairano,Mino Caprio,Gerolamo Alchieri
tt0206778,Bret Carr,Ernest Mingione,Starla Benford,Jon Jacobs,Aldo Cascio,Suzanne DiDonna,Burt Young,Mike Reagan,Michael Corleone,Freedom Williams
tt0206098,Alexander Chaplin,Cady McClain,Will Lyman,Alvin Epstein,Jane Nichols,James Spruill,Michael Bederman,Andrew van den Houten,Faran Krentcil,Kate Super
tt0207826,Rochelle Greenwood,Ben Eberhard,Dawn Perkins,Edmond Kato Wong,Kristina Copeland,Daniel Boileau,Kaj-Erik Eriksen,Bailee Reid,Amber Warnat,Andrew Morrison
