tt0119727,Amélia Corôa,Ludovic Videira,Maria Silva,Miguel Romeira,Norberto Barroca,João Manata,Joaquim Santos,José Pinto,Vítor Norte,Jorge Fernandes
tt0140806,David Carradine,Michael Maloney,Mariel Hemingway,Marina Anderson,Maite Arnedo,Larissa Borkowski,Frank Casagrande,Natalie Christian,Troy Clark,Jason Dixie
tt0157191,Patrick Swayze,Lisa Niemi,George De La Pena,Matthew Walker,Stefan Wenta,Timothy Webber,Marie Stillin,Aundra Ford,Daniel Heifetz,Elena Heifetz
tt0159365,Jude Law,Nicole Kidman,Renée Zellweger,Eileen Atkins,Brendan Gleeson,Philip Seymour Hoffman,Natalie Portman,Giovanni Ribisi,Donald Sutherland,Ray Winstone
tt0167260,Elijah Wood,Viggo Mortensen,Ian McKellen,Orlando Bloom,Noel Appleby,Ali Astin,Sean Astin,David Aston,John Bach,Sean Bean
tt0169579,M. Emmet Walsh,Mariette Hartley,Vincent Schiavelli,Camille Solari,Jimbo Barnett,Samantha Carpel,Shane Edelman,Andrea La Bella,Christian Leffler,Barbara Lettieri
tt0191133,Cuba Gooding Jr.,Beyoncé,Mike Epps,Nigel Washington,Chloe Bailey,Demetress Long,Ann Nesby,Faith Evans,Melba Moore,Rosalie Washington
tt0191211,Steve Parlavecchio,Arthur J. Nascarella,Stacie Mistysyn,Ralph Caputo,Jill Wolfe,Tom Borrillo,Vincent Tufariello,Roosey Khawly,David Stepkin,Vickie Thaw
tt0192788,Joseph Ashton,Dave Matthews,Renee Faia,Mac Davis,Kris Kristofferson,Ned Beatty,Dabney Coleman,Gary Anson,Orvel Baldridge,Robert Bauman
tt0193011,Stoney Jackson,Scott Valentine,Dori Bridges,Betty A. Bridges,Jack Knight,Todd Bridges,Shashawnee Hall,Diana Skolnik,Jimmy Bridges,Frederick Bailey
tt0195119,Romain Duris,Clément Sibony,Mathilde Bertrandy,Rachid Djaidani,Stéphanie Dupont,Karole Rocher,Farid Chenaine,Isaac Sharry,Agathe Teyssier,Ouassini Embarek
tt0196927,André Wilms,Walter Schmidinger,Geno Lechner,Baki Davrak,Jürgen Lehmann,Rainer Sellien,Amalie Bizer,Raimund Groß,John Chambers,Günther Weinmann
tt0204352,Irene Bedard,Mark Boone Junior,Kieran Mulroney,Chip Adams,Allison Stander-Marley,Jamie Johnsen-Brigham,Virginia Hawkins,Lee McLaughlin,Ross Collins,Nicole Arlyn
tt0201934,Stacy Fair,Clare Lapinskie,Bruce Dawson,Matthew Harrison,Doug Greenall,Donna Yamamoto,Gregory Ould,John Newman,Ian Berry,Laura Livingstone
tt0206866,Lazar Ristovski,Iakov Kultiasov,Katharina Thalbach,Julia Khanverdieva,Oktay Özdemir,Paulus Manker,Birol Ünel,Imogen Kogge,Yasemin Bueyueksapci,Manfred Witt
tt0207002,Ron Moody,Rula Lenska,Lee Blakemore,Leyland O'Brien,John Cunningham,Andy Lucas,Dorothea Alexander,Pamela Cundell,Charles Simon,Hana Maria Pravda
tt0208412,Leslie France,Wayne Dehart,Sylvia Miles,Glenn Shadix,Bill Bolender,Tonea Stewart,James Donadio,Laura Hicks,Mark Lainer,Marco Perella
tt0211311,Darío Grandinetti,Nicolás Cabré,Jazmín Stuart,Patricio Contreras,Luis Luque,Leonor Manso,María Leal,Lydia Lamaison,Patricia Palmer,Arturo Maly
tt0211423,Farah White,Michelle Irving,Elena Burunova,Jennifer Harris,Grant James,Luke Adams,Bill Kent,Stephanie Garner,Catherine Holmes,Peter Sanders
tt0215244,Mary Dee,Steven Gridley,G. Anthony Joseph,Alison Ganssle,Chad Kerkenbush,Eara Betts,Megan Cook,Kimberly Morgan III,Lindsay Ferguson,Tiffanie Martz
tt0217084,Marius Stanescu,Gheorghe Dinica,Clara Voda,Gheorghe Visu,Coca Bloos,Valentin Uritescu,Alexandra Dinu,Mihai Dinvale,Lucian Ifrim,Alexandru Bindea
tt0217802,Paul Popowich,Derek Hamilton,Eugene Levy,Audrey Lupke,Joe Pantoliano,Daniel Baldwin,Louise Fletcher,Kenny Robinson,Leslie Carlson,Kevin Rushton
tt0217319,DJ Qualls,Rachel Blanchard,Colin Fox,Sean Kanan,Tom Rack,Michael Sinelnikoff,Ryan Massey,Gordon Masten,Matt Smiley,Anik Matern
tt0222710,Mark Adair-Rios,Eric Close,Alex D'Lerma,Deidra Edwards,Gina Gian,Vince Lozano,Danny Naten,Lucy Rodriguez,Bert Rosario,Nicola Seixas
tt0228301,Lisa Brenner,Misha Collins,Geneviève Bujold,Louise Fletcher,Jeannetta Arnette,Sherri Saum,Johnny Messner,Andrew Lukich,Justin Henry,Jason Miller
tt0232537,Gabriella Biemforde,Wayne Dehart,Milo Frank,Kevin Linell,Reggie McFadden,Tracy Miller,Donna Neuwirth,Glenn Plummer,Jay Lamont Pope,Juan Pope
tt0237152,Eric Bruno Borgman,Michael Kaplan,George Souza,Michael Greeley,Anthony Lea,Frank Croteau,Steven Ricci,Joseph Madden,Lincoln Clark,Christopher Cox
tt0238960,Menashe Noy,Ayelet Zurer,Lior Ashkenazi,Mark Ivanir,Natasha Vitlovitz,Erez Shafrir,Leonid Kanevskiy,Igor Mirkurbanov,Amnon Wolf,Udi Ben David
tt0241961,Jonathan Chalker,Lea Downey,Melissa London,James Compton,Jennifer Kirchenbauer,Jeff Danos,Lindsay McDonald,Ari Greenberg,,
tt0241934,Aurélien Wiik,Bérénice Bejo,Vítor Norte,Maria Emília Correia,Jocelyn Quivrin,Héléna Noguerra,Isabel Florido,Isabel de Castro,Miriam Reis,Luis Inacio
tt0242888,Jessica Alba,Brenda Blethyn,Hugh Dancy,Bob Hoskins,Christopher Ling,Junix Inocian,Michael Jessing Langgi,Mano Maniam,K.K. Moggie,Emily Mortimer
tt0243652,Silvio Pollio,Daniella Evangelista,Franco Valenti,Paige Gray,Jay Kramer,Joe Pascual,Horace Morris,Alistair Abell,Paul J. Andersen,Jim Bremner
tt0248110,Lance Henriksen,Christopher Shyer,Stellina Rusich,Stefanie von Pfetten,David Livingstone,Douglas O'Keeffe,Sarah-Jane Redmond,Lideo Baldeon,Michael Leisen,Fred Henderson
tt0249498,Carlos Albert,Kerry Corcoran,Jackie Di Crystal,Emilio Diaz,Juan Carlos Díaz,Géraldine Fernández,Deborah Smith Ford,Gloria Laino,Rolando Millet,Al Quinn
tt0250638,Simon Yam,Suet Lam,Ruby Wong,Maggie Siu,Raymond Ho-Yin Wong,Eddy Ko,Hoi-Pang Lo,Jerome Fung,Frank Michael Liu,Chi-Ping Chang
