tt0118141,Michael Blevis,Carlos Richardson,Lisa Fusco,Steven C. Stewart,Crispin Glover,John Insinna,Kelly Swiderski,Robin Adams,Adam Parfrey,Rikky Wittman
tt0121164,Johnny Depp,Helena Bonham Carter,Emily Watson,Tracey Ullman,Paul Whitehouse,Joanna Lumley,Albert Finney,Richard E. Grant,Christopher Lee,Michael Gough
tt0146272,Reiko Aylesworth,Arielle Barone,Robert Blacker,Élodie Bouchez,Oscar A. Colon,Didi Conn,Jim Czarnecki,Guillermo Diaz,Joseph DiGennaro,Neil Driscoll Jr.
tt0160706,Holt Boggs,Glen Vorhis,Matt Beckham,Diana Lee Inosanto,Mirelly Taylor,Lawrence Varnado,Marc Hébert,Marc Jeffreys,Jay Moses,Tery Corkran
tt0195551,Milton Welsh,Dirk Borchardt,Marc Buanga,Nicole Weißbrodt,Matthias Friedrich,Timo Semik,Jean Beauvoir,Anabelle Lachatte,Natascha Paulick,Konrad Haller
tt0196155,Derek Lebrero,David Jacob Blais,Marvin Hoenselaar,Bradford Eckhart,Misty Kueneman,Roger Shaide,Lisa Tower,Jo-Anne Carle,Antonio Chávez,Charles Cloghesy
tt0195565,Debbie Rochon,Russell LaDue,Robert Neill,Robert Nicotra,Antonia Goddess,Christopher Mako,Christine Fuchs,Shana Betz,Jerry Turchin,David Zhonzinsky
tt0204322,Karen Black,Mike Patton,Susan Traylor,Kathleen Wilhoite,Jak Kendall,Brooke Balderson,Paul Sizemore,Jane Wiedlin,George McArthur,Cathy Berry
tt0219171,Barry Pepper,Jacinda Barrett,Ian Hart,Claire Forlani,Alan Cumming,Tom Wilkinson,François Marthouret,Douglas Henshall,Willem Dafoe,Peter Serafinowicz
tt0234084,Soon-Tek Oh,Lorina Zapata,Daniel Riordan,Hilary Hesse,Angela Nicholas,Joseph Aguilar,Domingo Vara,Deanne Bray,Stephan Marlowe Robert,Jackie Torres
tt0240200,Lisa Ray,John Abraham,Seema Biswas,Sarala Kariyawasam,Buddhi Wickrama,Rinsly Weerarathne,Iranganie Serasinghe,Hermantha Gamage,Ronica Sajnani,Manorama
