tt0110476,Viktor Rakov,Anastasiya Vertinskaya,Nikolay Burlyaev,Mikhail Ulyanov,Valentin Gaft,Aleksandr Filippenko,Vladimir Steklov,Viktor Pavlov,Aleksandra Zakharova,Sergey Garmash
tt0136517,Stephanie Beacham,Ria Coyne,Lesley-Anne Down,Peter Evans,Olivia Hussey,Gavan O'Herlihy,Frank Campanella,Stephen Furst,Jennifer Nairn-Smith,Drew Guenett
tt0166871,Bianca Byington,Cucha Carvalheiro,José Raposo,Rogério Samora,Ricardo Pereira,Diogo Dória,Anton Skrzypiciel,Helena Vieira,Filomena Cautela,Vítor Espadinha
tt0206634,Julianne Moore,Clive Owen,Chiwetel Ejiofor,Michael Caine,Juan Gabriel Yacuzzi,Mishal Husain,Rob Curling,Jon Chevalier,Rita Davies,Kim Fenton
tt0260042,Lori Heuring,Clayne Crawford,Patrick Bergin,Antonio David Lyons,Tucker Smallwood,Lisa Rotondi,Jenny Littleton,Dennis Martin,Russell Philpott,Darius Hastings
tt0259822,Milla Jovovich,Angus Macfadyen,Stephen Dorff,Aisha Tyler,Sarah Strange,Vincent Laresca,Tony Munch,Kay Hawtrey,John Robinson,Tim Eddis
tt0266732,John Patrick Amedori,Lizzy Caplan,D.J. Cotrona,Jenny Wade,Jonathon Trent,Bruce A. Young,Daryl Hannah,Michael Krawic,David Douglas,Will Rothhaar
tt0275258,Sally Kirkland,Sheri Hellard,Heidi Marnhout,Tom Bosley,Morgan Brittany,Alice Ghostley,Rick Schatz,Mark Neal,Daniel Eppard,Patricia Place
tt0284363,Ivan Barnev,Oldrich Kaiser,Julia Jentsch,Marián Labuda,Milan Lasica,Zuzana Fialová,Martin Huba,Josef Abrhám,Jirí Lábus,Rudolf Hrusínský
tt0288476,José Luis Alfonzo,Patricia Camponovo,Maria Lorenzutti,Erica Rivas,Ana María Castel,Ludmila Finsik,Andrea Goldberg,Hossana Ricón,Franco Tirri,Oscar Alegre
tt0296604,Milton Berry,Gretchen Bieber,Billy Brakhage,Jolyn Duncan,David Eversole,Lisa Ann Goldsmith,Robert A. Guthrie,Alycin Hummel,Jenni Martin,Sterling McHan
tt0302545,Gretchen Becker,Alex A. Quinn,Martin Landau,Sean Delgado,Annabelle Lanyon,Chandra Galasso,Jason Andrews,Dylan Becker,Charles Dougherty,Andy Marshall
tt0308055,Anthony Hopkins,Demi Moore,Sharon Stone,Harry Belafonte,Joy Bryant,Nick Cannon,Emilio Estevez,Laurence Fishburne,Brian Geraghty,Heather Graham
tt0311862,Kent Harper,Scott Rudolph,Frank Alvarez,Fiona Angus,Mark Atienza,Mikael Paul Atienza,Ange Billman,Kendal Brenneman,Bill Lee Brown,Angela Crickman
tt0314186,Arjun Rampal,Ameesha Patel,Bobby Deol,Achint Kaur,Anang Desai,Beena Banerjee,Asha Sharma,Suhasini Mulay,Firdaus Mevawala,Kanwaljeet Singh
tt0321858,Da Brat,Ellen Burstyn,Terryl Daluz,Taye Diggs,Hill Harper,Judy Jerome,Charlie Neal,Roscoe Orman,Robbie Todd,Joe Santarelli
tt0323120,Erin Kelly,Diane Gaidry,Laura Breckenridge,Michelle Horn,Gustine Fudickar,Ilene Graff,Kevin McCarthy,Markus Flanagan,Karen Teliha,Marla Maples
tt0325011,Alessio Boni,Michele Placido,Isabella Ferrari,Alina Nedelea,Carlo Cecchi,Antonello Fassari,Marjo Berasategui,Riccardo Zinna,Alessio Caruso,Max Mazzotta
tt0328179,Andrew Casey,Lauren Bigby,Sarah Canon,Joe Wells,Jessica Blundell,Bryn Lucas,Geraint Rees,Anna Magdelena,Alex Hardy,James Murtagh
tt0329239,,,,,,,,,,
tt0337609,Derek Denham,Mark Brock,Candace Posluszny,Deirdre Tracey,Dale Reynolds,Dale Reynolds,Dax Anderson,Steve Berg,Christina Boyd,Shaun Buckley
tt0339756,Steven Man,Kaarina Aufranc,Joe Toppe,Quinn K. Redeker,Roscoe Lee Browne,Bill Cobbs,J.A. Preston,John Ashton,Terry Moore,Andre Gower
tt0339382,Lucci Ferreira,María Dulce Saldanha,Pietro Mário,Daisy Granados,Claudio Marzo,Leandro Hassum,Siã Kaxinauá,Iracema Starling,Daniel Lugo,Jairo Mattos
tt0345228,Robin Tunney,Joel Edgerton,Cybill Shepherd,Matt Keeslar,Scott Wilson,Shirley Knight,Elliott Gould,Justin Ashforth,Michaela Conlin,Alanna Ubach
tt0343737,Matt Damon,Angelina Jolie,Robert De Niro,Alec Baldwin,Tammy Blanchard,Billy Crudup,Keir Dullea,Michael Gambon,Martina Gedeck,William Hurt
tt0350183,Jean-Claude Carrière,Thierry Frémont,Labina Mitevska,Vlado Jovanovski,Kiril Ristoski,Meto Jovanovski,Vladimir Svetiev,Petar Mircevski,Aleksandar Caminski,Djordji Jolevski
tt0349467,Julianne Moore,Samuel L. Jackson,Edie Falco,Ron Eldard,William Forsythe,Aunjanue Ellis-Taylor,Anthony Mackie,LaTanya Richardson Jackson,Clarke Peters,Peter Friedman
