Genero,Tipo,Nombre,Año estreno,Mes estreno,Id
Drama,Movie,A Mulher Polícia,2003,5.0,tt0119727
Drama,Movie,American Reel,2003,11.0,tt0140806
Drama,Movie,One Last Dance,2004,11.0,tt0157191
Drama,Movie,Cold Mountain,2004,2.0,tt0159365
Drama,Movie,The Lord of the Rings: The Return of the King,2003,12.0,tt0167260
Drama,Movie,Baggage,2003,3.0,tt0169579
Drama,Movie,The Fighting Temptations,2004,1.0,tt0191133
Drama,Movie,Jersey Guy,2003,4.0,tt0191211
Drama,Movie,Where the Red Fern Grows,2003,5.0,tt0192788
Drama,Movie,Black Ball,2003,8.0,tt0193011
Drama,Movie,Osmose,2004,5.0,tt0195119
Drama,Movie,Scardanelli,2003,3.0,tt0196927
Drama,Movie,Greasewood Flat,2015,1.0,tt0204352
Drama,Movie,Sister Blue,2003,8.0,tt0201934
Drama,Movie,König der Diebe,2003,,tt0206866
Drama,Movie,Paradise Grove,2003,4.0,tt0207002
Drama,Movie,Rose's,1999,,tt0208412
Drama,Movie,Ciudad del sol,2003,10.0,tt0211311
Drama,Movie,House of the Generals,2003,5.0,tt0211423
Drama,Movie,Terror in the Darkness,2003,1.0,tt0215244
Drama,Movie,Examen,2003,10.0,tt0217084
Drama,Movie,Silver Man,2003,10.0,tt0217802
Drama,Movie,Chasing Holden,2003,1.0,tt0217319
Drama,Movie,Alvarez & Cruz,2003,11.0,tt0222710
Drama,Movie,Finding Home,2005,4.0,tt0228301
Drama,Movie,Road Dogs,2003,7.0,tt0232537
Drama,Movie,The Deserter,2003,10.0,tt0237152
Drama,Movie,Ish HaHashmal,2003,1.0,tt0238960
Drama,Movie,Sleeping Pills,2003,10.0,tt0241961
Drama,Movie,Sem Ela,2004,9.0,tt0241934
Drama,Movie,The Sleeping Dictionary,2003,1.0,tt0242888
Drama,Movie,How It All Went Down,2003,,tt0243652
Drama,Movie,The Invitation,2003,12.0,tt0248110
Drama,Movie,Escape from Cuba,2003,11.0,tt0249498
Drama,Movie,PTU,2003,4.0,tt0250638
Drama,Movie,Nobody Needs to Know,2003,1.0,tt0249846
Drama,Movie,Dreaming of Julia,2006,1.0,tt0251677
Drama,Movie,An American Reunion,2004,,tt0252052
Drama,Movie,Koi... Mil Gaya,2003,8.0,tt0254481
Drama,Movie,The Trade,2003,,tt0255655
Drama,Movie,Sometimes a Hero,2003,3.0,tt0256400
Drama,Movie,Emotional Backgammon,2003,8.0,tt0260878
Drama,Movie,Winter Break,2003,8.0,tt0261992
Drama,Movie,Trinity,2005,1.0,tt0264108
Drama,Movie,The Devil and Daniel Webster,2007,8.0,tt0263265
Drama,Movie,Uptown Girls,2004,2.0,tt0263757
Drama,Movie,Basic,2003,8.0,tt0264395
Drama,Movie,La primera noche,2003,9.0,tt0264946
Drama,Movie,Kill Bill: Vol. 1,2003,11.0,tt0266697
Drama,Movie,A Man Apart,2003,8.0,tt0266465
Drama,Movie,Main Prem Ki Diwani Hoon,2003,6.0,tt0265148
Drama,Movie,Mr. Id,2007,6.0,tt0267764
Drama,Movie,The Hunted,2003,6.0,tt0269347
Drama,Movie,Everyday,2003,1.0,tt0270349
Drama,Movie,Quicksand,2005,5.0,tt0271136
Drama,Movie,Crust,2003,7.0,tt0271445
Drama,Movie,Rhythm of the Saints,2003,1.0,tt0271234
Drama,Movie,18 ans après,2004,7.0,tt0271337
Drama,Movie,The Forgotten,2003,11.0,tt0272092
Drama,Movie,It's All About Love,2004,1.0,tt0273689
