0,1,2,3
tt0315642,Wazir,"7,1",56
tt0376479,American Pastoral,"6,1",24
tt0443533,The History of Love,"6,3",82
tt0470936,"Tak erkir, tsurt dzmer","4,2",NO DATA
tt0475290,"Hail, Caesar!","6,3",86
tt0490215,Silence,"7,2",83
tt0493076,Nina,"5,4",2
tt0838194,Retreat!,"7,9",62
tt0918520,Gangster Kittens,"7,5",NO DATA
tt0918940,The Legend of Tarzan,"6,2",35
tt0932667,The Man in the Silo,"5,0",82
tt0995868,Pelé: Birth of a Legend,"7,1",32
tt10005130,Alalá,"7,2",NO DATA
tt10006056,La notte è piccola per noi,"6,2",NO DATA
tt10011146,Le sang de la haine,"7,7",90
tt10011852,Saalaiyoram,"7,0",NO DATA
tt10023318,Waiting for the Boatman,NO DATA,NO DATA
tt10023330,Deep Swimmer,NO DATA,NO DATA
tt1002563,The Young Messiah,"5,7",49
tt10049176,Wuzhumuqin de hai zi,NO DATA,NO DATA
tt10062102,Jattan Diyan Dildariyan,NO DATA,85
tt10066788,"Blizhe, chem kazhetsya",NO DATA,NO DATA
tt10069972,The Unbendable,NO DATA,NO DATA
tt10075604,"Taxi, Em Tên Gì?","5,5",NO DATA
tt10077134,Csak még egyszer elöre,"6,7",NO DATA
tt10078764,Cho Em Dên Ngày Mai,"4,5",NO DATA
tt10087490,The Influence of Sex on Dieting,NO DATA,NO DATA
tt10101082,Chasing a broken heart,NO DATA,NO DATA
tt10111188,Emerald City: Live,NO DATA,38
tt10127628,Jakkanna,"6,1",NO DATA
tt10151102,Liberty Equality Fraternity: Live,NO DATA,NO DATA
tt10152244,Migranti 1950,NO DATA,NO DATA
tt10173670,Romansa: Gending Cinta di Tanah Turki,NO DATA,NO DATA
tt10183490,Aart,NO DATA,NO DATA
tt10192466,Maturità,"5,9",NO DATA
tt10225098,Ye Kaisa Pal Do Pal Ka Pyar,"8,1",NO DATA
tt10225354,Volviendo a Casa,NO DATA,NO DATA
tt10238510,Mazhi Tapasya,NO DATA,NO DATA
tt10241186,Lakhanwadicha Raja,NO DATA,NO DATA
tt10241406,Partee,NO DATA,NO DATA
tt10280638,Kinbaku: Hana no Shô,"5,1",NO DATA
tt10324212,Koi Aane Parnavo,NO DATA,59
tt10349280,The Fraud Love Group,NO DATA,8
tt10357406,Wa'alaikumussalam Paris,"8,8",NO DATA
tt10356932,Jilbab Traveler: Love Sparks in Korea,"6,3",NO DATA
tt10366570,Nayanchampar Dinratri,NO DATA,72
tt10401506,Dogs and Fools,NO DATA,50
tt10411708,Che cos'è un manrico,NO DATA,NO DATA
tt7317404,Jane,"6,2",98
tt10500398,Him,NO DATA,NO DATA
tt10512636,Kosmonautensehnsucht,NO DATA,NO DATA
tt10515976,Pociecha,"6,8",NO DATA
tt10533484,Aapne to chhie bindaas,"7,2",NO DATA
tt10583610,Die weiße Frau 3,NO DATA,59
tt10580458,Stockholm,"5,1",NO DATA
tt10620492,Khoussouf,"8,9",NO DATA
tt10633568,Echoes of Love,NO DATA,NO DATA
tt10654090,Nadsat,NO DATA,NO DATA
tt10685470,Chetana,NO DATA,NO DATA
tt10690358,Circle,NO DATA,57
tt10690546,Twiin,NO DATA,NO DATA
tt10691608,The Players,NO DATA,94
tt10690400,Snakes & Ladders,NO DATA,NO DATA
tt10690596,Switch,NO DATA,32
tt10691788,Monotony's Lover,NO DATA,NO DATA
tt10756546,Riktha,"5,2",NO DATA
tt10768010,Be My Slave,"6,6",NO DATA
tt10772412,Bai mao niu,NO DATA,94
tt10816724,Showdown The Movie,"4,4",NO DATA
tt10839304,Sobre Mariposas e Borboletas,NO DATA,NO DATA
tt10856376,Printsip Taliona,NO DATA,59
tt10889420,New Queer Visions: Lust in Translation,"4,3",NO DATA
tt10910932,L'amore rubato,"5,9",NO DATA
tt1091212,The Wait,"6,0",73
tt10936938,Infinite Gift,NO DATA,NO DATA
tt10993884,Osenyu 41-go,NO DATA,1
tt11012266,Tridev,NO DATA,NO DATA
tt11015820,Tie Zhu into the city,NO DATA,NO DATA
tt11012278,Truck Driver 2,NO DATA,NO DATA
tt11015786,My Boyfriend is A Dog,NO DATA,NO DATA
tt11020760,Las hijas del narco,"6,7",NO DATA
tt11024172,Page 4,NO DATA,26
tt11091984,Saajan Chale Sasural 2,"8,5",NO DATA
tt11100652,From Nine to Nine,NO DATA,2
tt11117442,Chhappar Phaar Kay,NO DATA,NO DATA
tt11137802,Diu yang,"4,2",82
