,age,attrition,business_travel,department,education,education_field,employee_number,environment_satisfaction,gender,job_involvement,job_level,job_role,job_satisfaction,marital_status,monthly_rate,num_companies_worked,overtime,percent_salary_hike,performance_rating,relationship_satisfaction,stock_option_level,training_times_last_year,work_life_balance,years_at_company,years_since_last_promotion,years_with_curr_manager,date_birth,remote_work,hourly_rate,daily_rate,distance_from_home,monthly_income,total_working_years
0,51,No,desconocido,desconocido,3,desconocido,162,1,male,3,5,research_director,3,desconocido,6462,7,No,13,3.0,3,0,5,3,20,15,15,1972,yes,51,684.0,6.0,19537.0,6
1,52,No,desconocido,desconocido,4,life_sciences,259,3,male,2,5,manager,3,desconocido,5678,0,desconocido,14,3.0,1,1,5,3,33,11,9,1971,yes,65,699.0,1.0,19999.0,34
2,42,No,travel_rarely, research_development ,2,technical_degree,319,3,male,3,5,manager,4,married,4933,1,No,11,3.0,4,0,3,3,22,11,15,1981,yes,58,532.0,4.0,19232.0,22
3,47,No,travel_rarely,desconocido,4,medical,1,1,female,3,4,research_director,3,married,26703,3,desconocido,19,3.0,2,2,2,3,20,5,6,1976,no,82,359.0,2.0,17169.0,5
4,46,No,desconocido,desconocido,3,technical_degree,2,1,female,4,4,sales_executive,1,divorced,7739,2,No,12,3.0,4,1,5,3,19,2,8,1977,no,45,1319.0,3.0,5361.8,6
5,48,No,desconocido, research_development ,3,medical,1900,4,female,3,4,manager,4,desconocido,2437,3,No,11,3.0,2,1,3,3,22,4,7,1975,yes,58,117.0,22.0,17174.0,7
6,59,No,desconocido,desconocido,3,life_sciences,81,1,female,3,3,sales_executive,1,desconocido,2354,7,desconocido,11,3.0,4,0,3,2,21,7,9,1964,yes,99,1435.0,25.0,9728.0,28
7,42,No,travel_rarely,desconocido,1,desconocido,387,2,male,3,2,sales_executive,3,married,24532,1,No,25,4.0,3,0,3,3,20,11,6,1981,no,99,635.0,1.0,8659.6,20
8,41,No,desconocido,desconocido,5,desconocido,3,2,female,3,4,manager,1,married,5626,7,No,16,3.0,2,1,2,3,18,11,8,1982,yes,91,1276.0,2.0,16595.0,22
9,41,No,travel_frequently,desconocido,3,desconocido,999,1,male,3,5,research_director,3,desconocido,3735,2,No,17,3.0,2,1,2,4,18,0,11,1982,no,64,840.0,9.0,4854.4,21
10,41,No,non_travel,desconocido,1,desconocido,1035,2,female,1,5,research_director,3,desconocido,20284,1,No,22,4.0,2,2,3,3,21,5,10,1982,no,55,247.0,7.0,19973.0,8
11,56,No,travel_rarely,desconocido,3,life_sciences,4,4,male,3,4,manufacturing_director,2,married,18235,4,Yes,12,3.0,1,1,0,3,19,15,9,1967,no,68,1369.0,23.0,13402.0,33
12,38,No,desconocido,desconocido,3,medical,5,2,female,1,3,research_director,3,married,3376,3,No,12,3.0,1,1,3,3,18,1,11,1985,yes,99,201.0,10.0,13206.0,15
13,41,Yes,travel_rarely,desconocido,3,desconocido,58,2,female,3,5,research_director,3,married,16280,1,No,12,3.0,4,0,0,3,22,15,8,1982,no,49,1360.0,12.0,19545.0,8
14,55,No,desconocido,desconocido,4,medical,6,3,male,4,5,research_director,2,single,13339,8,No,11,3.0,4,0,3,3,24,2,15,1968,yes,61,692.0,14.0,8032.8,8
15,40,No,travel_rarely,desconocido,4,desconocido,558,3,female,3,5,manager,3,desconocido,13022,0,No,14,3.0,4,0,2,3,20,1,12,1983,no,79,1398.0,2.0,18041.0,10
16,58,Yes,travel_rarely,desconocido,4,desconocido,825,4,male,3,5,research_director,2,single,25761,7,Yes,12,3.0,4,0,2,3,31,13,8,1965,no,31,286.0,2.0,19246.0,40
17,46,No,travel_rarely,desconocido,3,desconocido,7,3,female,3,4,manager,1,desconocido,24097,8,desconocido,23,4.0,1,0,2,3,26,15,9,1977,no,69,1402.0,2.0,12359.2,28
18,35,No,desconocido,desconocido,5,life_sciences,8,2,male,4,2,research_scientist,1,married,26312,1,desconocido,11,3.0,4,0,2,3,16,1,10,1988,no,48,819.0,11.2,7678.2,11
19,40,No,travel_rarely,desconocido,3,life_sciences,9,1,female,2,3,manufacturing_director,3,desconocido,25800,1,desconocido,13,3.0,4,2,2,3,18,14,12,1983,yes,80,884.0,15.0,5292.0,18
20,45,No,non_travel, research_development ,1,desconocido,1712,3,male,2,3,healthcare_representative,3,desconocido,3395,3,desconocido,23,4.0,4,1,3,2,23,14,4,1978,no,74,1238.0,1.0,10748.0,25
21,33,No,desconocido,desconocido,2,life_sciences,73,1,female,3,3,research_director,4,single,15146,1,Yes,12,3.0,3,0,1,3,15,8,12,1990,yes,98,515.0,1.0,6313.2,15
22,36,No,desconocido,desconocido,3,desconocido,10,3,female,3,3,healthcare_representative,3,divorced,8202,1,desconocido,13,3.0,2,3,2,3,17,12,8,1987,yes,59,1223.0,8.0,5431.6,17
23,47,No,desconocido,desconocido,2,other,820,3,female,3,4,manager,4,married,12982,1,desconocido,11,3.0,3,1,3,2,26,3,0,1976,no,33,202.0,2.0,16752.0,8
24,36,No,travel_rarely,desconocido,2,life_sciences,11,4,male,3,2,sales_executive,4,desconocido,2823,1,desconocido,14,3.0,4,1,1,3,18,4,11,1987,yes,56,928.0,10.2,6201.0,18
25,35,No,desconocido,desconocido,3,life_sciences,12,4,female,2,3,manufacturing_director,3,married,23457,1,Yes,20,4.0,2,1,2,3,17,5,15,1988,no,66,607.0,9.0,5470.0,17
26,52,Yes,desconocido,desconocido,1,desconocido,13,1,female,1,5,manager,4,married,25846,1,No,15,3.0,4,1,3,3,32,6,9,1971,yes,57,266.0,2.0,19845.0,33
27,36,No,desconocido,desconocido,4,life_sciences,1294,3,female,3,2,manufacturing_director,2,single,2323,9,Yes,11,3.0,4,0,2,3,16,5,12,1987,no,53,429.0,2.0,5766.2,18
28,33,No,travel_rarely,desconocido,4,life_sciences,14,2,male,3,2,laboratory_technician,3,married,22949,1,desconocido,12,3.0,2,1,3,3,15,5,7,1990,yes,79,589.0,28.0,6873.4,15
29,34,No,non_travel, sales ,3,life_sciences,1774,4,male,3,2,sales_executive,3,desconocido,12313,1,Yes,14,3.0,3,1,3,3,15,0,7,1989,yes,87,738.6,10.0,4001.0,15
30,41,No,desconocido, sales ,1,desconocido,1815,3,female,3,3,sales_executive,3,divorced,26458,0,desconocido,13,3.0,4,1,3,4,22,13,5,1982,yes,81,857.8,3.6,10447.0,13
31,47,No,desconocido, research_development ,3,medical,1993,1,male,3,3,healthcare_representative,3,desconocido,13084,2,desconocido,23,4.0,2,0,3,3,17,12,11,1976,yes,84,1180.0,25.0,9143.6,25
32,53,No,travel_rarely,desconocido,3,desconocido,32,3,female,3,5,manager,3,desconocido,10735,4,desconocido,11,3.0,4,1,3,2,14,4,8,1970,yes,58,1282.0,5.0,3236.4,26
33,35,No,desconocido,desconocido,4,marketing,100,3,male,2,2,sales_executive,1,single,23016,0,No,14,3.0,2,0,2,3,15,2,8,1988,no,32,776.0,1.0,5578.4,16
