,employee_number,age,attrition,business_travel,department,education,education_field,environment_satisfaction,gender,job_involvement,job_level,job_role,job_satisfaction,marital_status,monthly_rate,num_companies_worked,overtime,percent_salary_hike,performance_rating,relationship_satisfaction,stock_option_level,training_times_last_year,work_life_balance,years_at_company,years_since_last_promotion,years_with_curr_manager,date_birth,remote_work,hourly_rate,daily_rate,distance_from_home,monthly_income,total_working_years
0,1,51,No,desconocido,desconocido,bachillerato,desconocido,1,male,3,5,research_director,3,desconocido,6462,7,No,13,3.0,3,0,5,3,20,15,15,1972,yes,51,684.0,6.0,19537.0,6
1,2,52,No,desconocido,desconocido,universidad,life_sciences,3,male,2,5,manager,3,desconocido,5678,0,desconocido,14,3.0,1,1,5,3,33,11,9,1971,yes,65,699.0,1.0,19999.0,34
2,3,42,No,travel_rarely, research_development ,fp,technical_degree,3,male,3,5,manager,4,married,4933,1,No,11,3.0,4,0,3,3,22,11,15,1981,yes,58,532.0,4.0,19232.0,22
3,4,47,No,travel_rarely,desconocido,universidad,medical,1,female,3,4,research_director,3,married,26703,3,desconocido,19,3.0,2,2,2,3,20,5,6,1976,no,82,359.0,2.0,17169.0,5
4,5,46,No,desconocido,desconocido,bachillerato,technical_degree,1,female,4,4,sales_executive,1,divorced,7739,2,No,12,3.0,4,1,5,3,19,2,8,1977,no,45,1319.0,3.0,5361.8,6
5,6,48,No,desconocido, research_development ,bachillerato,medical,4,female,3,4,manager,4,desconocido,2437,3,No,11,3.0,2,1,3,3,22,4,7,1975,yes,58,117.0,22.0,17174.0,7
6,7,59,No,desconocido,desconocido,bachillerato,life_sciences,1,female,3,3,sales_executive,1,desconocido,2354,7,desconocido,11,3.0,4,0,3,2,21,7,9,1964,yes,99,1435.0,25.0,9728.0,28
7,8,42,No,travel_rarely,desconocido,eso,desconocido,2,male,3,2,sales_executive,3,married,24532,1,No,25,4.0,3,0,3,3,20,11,6,1981,no,99,635.0,1.0,8659.6,20
8,9,41,No,desconocido,desconocido,doctorado,desconocido,2,female,3,4,manager,1,married,5626,7,No,16,3.0,2,1,2,3,18,11,8,1982,yes,91,1276.0,2.0,16595.0,22
9,10,41,No,travel_frequently,desconocido,bachillerato,desconocido,1,male,3,5,research_director,3,desconocido,3735,2,No,17,3.0,2,1,2,4,18,0,11,1982,no,64,840.0,9.0,4854.4,21
10,11,41,No,non_travel,desconocido,eso,desconocido,2,female,1,5,research_director,3,desconocido,20284,1,No,22,4.0,2,2,3,3,21,5,10,1982,no,55,247.0,7.0,19973.0,8
11,12,56,No,travel_rarely,desconocido,bachillerato,life_sciences,4,male,3,4,manufacturing_director,2,married,18235,4,Yes,12,3.0,1,1,0,3,19,15,9,1967,no,68,1369.0,23.0,13402.0,33
12,13,38,No,desconocido,desconocido,bachillerato,medical,2,female,1,3,research_director,3,married,3376,3,No,12,3.0,1,1,3,3,18,1,11,1985,yes,99,201.0,10.0,13206.0,15
