,employee_number,age,attrition,business_travel,daily_rate,department,distance_from_home,education,education_field,environment_satisfaction,gender,hourly_rate,job_involvement,job_level,job_role,job_satisfaction,marital_status,monthly_income, monthly_rate,num_companies_worked,overtime,percent_salary_hike,performance_rating,relationship_satisfaction,stock_option_level,total_working_years,training_times_last_year,work_life_balance,years_at_company,years_since_last_promotion,years_with_curr_manager,same_as_monthly_income,date_birth,remote_work
0,1,51,No,desconocido,684,desconocido,6.0,bachillerato,desconocido,1,male,51,3,5,research_director,3,desconocido,19537,6462,7,No,13,3,3,0,13,5,3,20,15,15,"19537,0",1972,yes
1,2,52,No,desconocido,699,desconocido,1.0,universidad,life_sciences,3,male,65,2,5,manager,3,desconocido,19999,5678,0,desconocido,14,3,1,1,34,5,3,33,11,9,"19999,0",1971,yes
2,3,42,No,travel_rarely,532,research_development,4.0,fp,technical_degree,3,male,58,3,5,manager,4,married,19232,4933,1,No,11,3,4,0,22,3,3,22,11,15,"19232,0",1981,yes
3,4,47,No,travel_rarely,359,desconocido,2.0,universidad,medical,1,female,82,3,4,research_director,3,married,17169,26703,3,desconocido,19,3,2,2,5,2,2,20,5,6,"17169,0",1976,no
4,5,46,No,desconocido,1319,desconocido,3.0,bachillerato,technical_degree,1,female,45,4,4,sales_executive,1,divorced,5361,7739,2,No,12,3,4,1,13,5,3,19,2,8,,1977,no
5,6,48,No,desconocido,117,research_development,22.0,bachillerato,medical,4,female,58,3,4,manager,4,desconocido,17174,2437,3,No,11,3,2,1,14,3,3,22,4,7,"17174,0",1975,yes
6,7,59,No,desconocido,1435,desconocido,25.0,bachillerato,life_sciences,1,female,99,3,3,sales_executive,1,desconocido,10477,2354,7,desconocido,11,3,4,0,28,3,2,21,7,9,,1964,yes
7,8,42,No,travel_rarely,635,desconocido,1.0,eso,desconocido,2,male,99,3,2,sales_executive,3,married,8659,24532,1,No,25,4,3,0,20,3,3,20,11,6,,1981,no
8,9,41,No,desconocido,1276,desconocido,2.0,doctorado,desconocido,2,female,91,3,4,manager,1,married,16595,5626,7,No,16,3,2,1,22,2,3,18,11,8,"16595,0",1982,yes
9,10,41,No,travel_frequently,840,desconocido,9.0,bachillerato,desconocido,1,male,64,3,5,research_director,3,desconocido,4854,3735,2,No,17,3,2,1,21,2,4,18,0,11,,1982,no
10,11,41,No,non_travel,247,desconocido,7.0,eso,desconocido,2,female,55,1,5,research_director,3,desconocido,19973,20284,1,No,22,4,2,2,13,3,3,21,5,10,"19973,0",1982,no
11,12,56,No,travel_rarely,1369,desconocido,23.0,bachillerato,life_sciences,4,male,68,3,4,manufacturing_director,2,married,13402,18235,4,Yes,12,3,1,1,33,0,3,19,15,9,"13402,0",1967,no
12,13,38,No,desconocido,201,desconocido,10.0,bachillerato,medical,2,female,99,1,3,research_director,3,married,13206,3376,3,No,12,3,1,1,21,3,3,18,1,11,"13206,0",1985,yes
13,14,41,Yes,travel_rarely,1360,desconocido,12.0,bachillerato,desconocido,2,female,49,3,5,research_director,3,married,19545,16280,1,No,12,3,4,0,13,0,3,22,15,8,"19545,0",1982,no
14,15,55,No,desconocido,692,desconocido,14.0,universidad,medical,3,male,61,4,5,research_director,2,single,8032,13339,8,No,11,3,4,0,14,3,3,24,2,15,,1968,yes
15,16,40,No,travel_rarely,1398,desconocido,2.0,universidad,desconocido,3,female,79,3,5,manager,3,desconocido,18041,13022,0,No,14,3,4,0,12,2,3,20,1,12,"18041,0",1983,no
16,17,58,Yes,travel_rarely,286,desconocido,2.0,universidad,desconocido,4,male,31,3,5,research_director,2,single,19246,25761,7,Yes,12,3,4,0,40,2,3,31,13,8,"19246,0",1965,no
17,18,46,No,travel_rarely,1402,desconocido,2.0,bachillerato,desconocido,3,female,69,3,4,manager,1,desconocido,13042,24097,8,desconocido,23,4,1,0,28,2,3,26,15,9,,1977,no
18,19,35,No,desconocido,819,desconocido,16.4,doctorado,life_sciences,2,male,48,4,2,research_scientist,1,married,8372,26312,1,desconocido,11,3,4,0,11,2,3,16,1,10,,1988,no
19,20,40,No,travel_rarely,884,desconocido,15.0,bachillerato,life_sciences,1,female,80,2,3,manufacturing_director,3,desconocido,5292,25800,1,desconocido,13,3,4,2,18,2,2,18,14,12,,1983,yes
20,21,45,No,non_travel,1238,research_development,1.0,eso,desconocido,3,male,74,2,3,healthcare_representative,3,desconocido,10748,3395,3,desconocido,23,4,4,1,25,3,2,23,14,4,"10748,0",1978,no
21,22,33,No,desconocido,515,desconocido,1.0,fp,life_sciences,1,female,98,3,3,research_director,4,single,5537,15146,1,Yes,12,3,3,0,15,1,3,15,8,12,,1990,yes
22,23,36,No,desconocido,1223,desconocido,8.0,bachillerato,desconocido,3,female,59,3,3,healthcare_representative,3,divorced,5431,8202,1,desconocido,13,3,2,3,17,2,3,17,12,8,,1987,yes
23,24,47,No,desconocido,202,desconocido,2.0,fp,other,3,female,33,3,4,manager,4,married,16752,12982,1,desconocido,11,3,3,1,14,3,2,26,3,0,"16752,0",1976,no
24,25,36,No,travel_rarely,928,desconocido,10.2,fp,life_sciences,4,male,56,3,2,sales_executive,4,desconocido,6201,2823,1,desconocido,14,3,4,1,18,1,3,18,4,11,"6201,0",1987,yes
25,26,35,No,desconocido,607,desconocido,9.0,bachillerato,life_sciences,4,female,66,2,3,manufacturing_director,3,married,5470,23457,1,Yes,20,4,2,1,17,2,3,17,5,15,,1988,no
26,27,52,Yes,desconocido,266,desconocido,2.0,eso,desconocido,1,female,57,1,5,manager,4,married,19845,25846,1,No,15,3,4,1,33,3,3,32,6,9,"19845,0",1971,yes
27,28,36,No,desconocido,429,desconocido,2.0,universidad,life_sciences,3,female,53,3,2,manufacturing_director,2,single,5766,2323,9,Yes,11,3,4,0,18,2,3,16,5,12,,1987,no
28,29,33,No,travel_rarely,589,desconocido,28.0,universidad,life_sciences,2,male,79,3,2,laboratory_technician,3,married,4778,22949,1,desconocido,12,3,2,1,15,3,3,15,5,7,,1990,yes
29,30,34,No,non_travel,769,sales,10.0,bachillerato,life_sciences,4,male,87,3,2,sales_executive,3,desconocido,4001,12313,1,Yes,14,3,3,1,15,3,3,15,0,7,"4001,0",1989,yes
30,31,41,No,desconocido,1116,sales,4.8,eso,desconocido,3,female,81,3,3,sales_executive,3,divorced,10447,26458,0,desconocido,13,3,4,1,12,3,4,22,13,5,"10447,0",1982,yes
31,32,47,No,desconocido,1180,research_development,25.0,bachillerato,medical,1,male,84,3,3,healthcare_representative,3,desconocido,11332,13084,2,desconocido,23,4,2,0,25,3,3,17,12,11,,1976,yes
32,33,53,No,travel_rarely,1282,desconocido,5.0,bachillerato,desconocido,3,female,58,3,5,manager,3,desconocido,3236,10735,4,desconocido,11,3,4,1,26,3,2,14,4,8,,1970,yes
33,34,35,No,desconocido,776,desconocido,1.0,universidad,marketing,3,male,32,2,2,sales_executive,1,single,5578,23016,0,No,14,3,2,0,16,2,3,15,2,8,,1988,no
34,35,34,No,travel_rarely,665,desconocido,6.0,universidad,other,1,female,41,3,2,research_scientist,3,single,6424,12482,1,desconocido,14,3,3,0,16,3,3,16,2,10,,1989,yes
35,36,46,No,travel_rarely,526,desconocido,1.0,fp,desconocido,2,female,92,3,3,sales_executive,1,divorced,5837,2137,1,No,25,4,3,3,24,2,3,24,15,7,,1977,yes
36,37,43,No,desconocido,1034,desconocido,16.0,bachillerato,desconocido,4,female,80,3,4,manager,4,married,16064,7744,5,desconocido,22,4,3,1,22,3,3,17,1,9,"16064,0",1980,yes
37,38,36,No,desconocido,1403,research_development,6.0,bachillerato,life_sciences,4,male,47,3,1,laboratory_technician,4,married,3210,20251,0,desconocido,11,3,3,1,16,4,3,15,10,11,"3210,0",1987,yes
38,39,60,No,travel_frequently,1499,desconocido,28.0,bachillerato,desconocido,3,female,80,2,3,sales_executive,1,married,10266,2845,4,No,19,3,4,0,22,5,4,18,13,11,"10266,0",1963,yes
39,40,40,No,travel_frequently,580,desconocido,5.0,universidad,desconocido,4,male,48,2,3,sales_executive,1,married,10475,23772,5,Yes,21,4,3,1,20,2,3,18,1,12,"10475,0",1983,no
