,adr,num_cancelados,num_no_cancelados,tasa
0,0.0,213,1744,0.11
1,1.0,3,12,0.2
2,2.0,3,9,0.25
3,4.0,2,19,0.1
4,6.0,21,46,0.31
5,8.0,76,25,0.75
6,9.0,1,9,0.1
7,10.0,2,4,0.33
8,12.0,53,39,0.58
9,13.0,1,2,0.33
10,17.6,10,1,0.91
11,18.0,1,5,0.17
12,19.0,3,1,0.75
13,20.0,1,4,0.2
14,21.0,1,4,0.2
15,22.5,3,13,0.19
16,23.0,1,3,0.25
17,24.94,1,1,0.5
18,25.0,21,137,0.13
19,25.11,2,3,0.4
20,25.5,1,1,0.5
21,25.64,1,2,0.33
22,26.0,10,70,0.12
23,26.1,6,50,0.11
24,26.64,3,5,0.38
25,27.0,4,73,0.05
26,27.9,1,6,0.14
27,28.0,4,5,0.44
28,28.8,1,2,0.33
29,29.0,24,191,0.11
30,29.11,1,8,0.11
31,29.16,9,7,0.56
32,30.0,83,279,0.23
33,30.24,2,31,0.06
34,30.6,1,24,0.04
35,31.0,1,34,0.03
36,31.45,1,16,0.06
37,31.88,2,2,0.5
38,32.0,6,72,0.08
39,32.3,1,2,0.33
40,32.4,22,13,0.63
41,33.26,3,10,0.23
42,33.3,39,25,0.61
43,33.6,5,4,0.56
44,34.0,64,115,0.36
45,34.02,1,2,0.33
46,34.11,1,1,0.5
47,34.2,5,12,0.29
48,34.4,1,45,0.02
49,34.65,1,3,0.25
50,34.85,1,1,0.5
51,35.0,58,362,0.14
52,35.1,6,23,0.21
53,35.12,1,3,0.25
54,35.34,1,2,0.33
55,36.0,82,210,0.28
56,36.04,1,6,0.14
57,36.25,2,10,0.17
58,36.45,6,6,0.5
59,36.5,4,1,0.8
60,36.96,2,24,0.08
61,37.0,37,112,0.25
62,37.29,1,1,0.5
63,37.33,2,3,0.4
64,37.4,1,24,0.04
65,37.44,1,3,0.25
66,37.5,1,5,0.17
67,37.7,2,6,0.25
68,37.8,125,119,0.51
69,37.83,1,2,0.33
70,38.0,32,203,0.14
71,38.07,1,3,0.25
72,38.32,1,1,0.5
73,38.4,3,33,0.08
74,38.67,2,16,0.11
75,38.7,1,6,0.14
76,38.81,1,6,0.14
77,38.86,1,1,0.5
78,38.88,1,2,0.33
79,39.0,63,229,0.22
80,39.1,2,3,0.4
81,39.33,5,4,0.56
82,39.6,4,18,0.18
83,40.0,76,340,0.18
84,40.05,50,2,0.96
85,40.11,2,1,0.67
86,40.14,1,2,0.33
87,40.32,1,6,0.14
88,40.5,17,34,0.33
89,40.8,3,5,0.38
90,40.81,2,1,0.67
91,40.95,4,34,0.11
92,41.0,5,26,0.16
93,41.18,1,1,0.5
94,41.29,1,1,0.5
95,41.4,18,58,0.24
96,41.58,1,8,0.11
97,41.76,1,5,0.17
98,41.85,2,1,0.67
99,42.0,81,271,0.23
100,42.3,5,13,0.28
101,42.43,2,8,0.2
102,42.5,1,32,0.03
103,43.0,39,301,0.11
104,43.12,1,6,0.14
105,43.2,13,62,0.17
106,43.33,3,2,0.6
107,43.65,2,2,0.5
108,44.0,10,154,0.06
109,44.1,8,9,0.47
110,44.36,4,8,0.33
111,44.5,13,73,0.15
112,44.64,4,7,0.36
113,44.66,6,6,0.5
114,44.77,1,1,0.5
115,44.8,9,28,0.24
116,44.88,1,2,0.33
117,45.0,46,316,0.13
118,45.36,4,3,0.57
119,45.5,8,9,0.47
120,45.6,3,7,0.3
121,45.86,1,1,0.5
122,45.9,2,14,0.12
123,46.0,131,124,0.51
124,46.16,1,1,0.5
125,46.4,13,54,0.19
126,46.43,1,1,0.5
127,46.5,1,21,0.05
128,46.51,2,1,0.67
129,46.64,1,5,0.17
130,46.75,2,18,0.1
131,46.8,17,34,0.33
132,46.96,1,2,0.33
133,46.98,8,10,0.44
134,47.0,45,117,0.28
135,47.14,3,1,0.75
136,47.25,1,7,0.12
137,47.4,2,9,0.18
138,47.45,1,1,0.5
139,47.54,2,1,0.67
140,47.57,1,1,0.5
141,47.6,3,3,0.5
142,47.67,1,1,0.5
143,47.7,1,3,0.25
144,47.8,3,5,0.38
145,48.0,321,797,0.29
146,48.06,1,2,0.33
147,48.5,5,22,0.19
148,48.6,11,14,0.44
149,48.88,2,5,0.29
150,48.95,1,1,0.5
151,49.0,23,116,0.17
152,49.17,1,1,0.5
153,49.2,4,10,0.29
154,49.22,1,1,0.5
155,49.3,1,5,0.17
156,49.5,2,25,0.07
157,49.71,1,2,0.33
158,49.74,1,7,0.12
159,49.75,1,1,0.5
160,49.9,1,3,0.25
161,49.95,29,4,0.88
162,50.0,108,296,0.27
163,50.1,1,1,0.5
164,50.2,1,6,0.14
165,50.22,2,1,0.67
166,50.33,1,9,0.1
167,50.4,28,32,0.47
168,50.63,1,1,0.5
169,50.67,1,1,0.5
170,50.8,1,5,0.17
171,50.85,10,19,0.34
172,51.0,12,80,0.13
173,51.05,3,7,0.3
174,51.28,1,2,0.33
175,51.3,3,3,0.5
176,51.4,20,4,0.83
177,51.5,3,8,0.27
178,51.69,1,2,0.33
179,51.75,2,4,0.33
180,51.84,4,8,0.33
181,51.85,3,18,0.14
182,51.97,3,6,0.33
183,52.0,137,85,0.62
184,52.2,37,73,0.34
185,52.27,1,3,0.25
186,52.33,2,1,0.67
187,52.36,3,9,0.25
188,52.4,1,33,0.03
189,52.5,4,12,0.25
190,52.56,5,14,0.26
191,52.7,1,4,0.2
192,52.8,9,26,0.26
193,53.0,8,49,0.14
194,53.1,1,13,0.07
195,53.2,1,5,0.17
196,53.5,1,1,0.5
197,53.87,5,2,0.71
198,54.0,93,219,0.3
199,54.05,1,5,0.17
200,54.09,2,1,0.67
201,54.21,1,5,0.17
202,54.4,7,18,0.28
203,54.5,3,102,0.03
204,54.67,1,4,0.2
205,54.68,1,1,0.5
206,54.71,1,33,0.03
207,54.72,2,1,0.67
208,54.8,1,2,0.33
209,54.86,2,6,0.25
210,54.9,1,18,0.05
211,54.98,1,1,0.5
212,54.99,26,1,0.96
213,55.0,133,335,0.28
214,55.08,4,2,0.67
215,55.1,1,12,0.08
216,55.14,1,1,0.5
217,55.2,2,2,0.5
218,55.43,1,10,0.09
219,55.44,4,13,0.24
220,55.63,2,8,0.2
221,55.68,5,19,0.21
222,55.8,70,57,0.55
223,55.83,1,2,0.33
224,55.89,1,2,0.33
225,55.96,4,9,0.31
226,56.0,49,247,0.17
227,56.1,1,8,0.11
228,56.16,1,6,0.14
229,56.24,1,1,0.5
230,56.4,1,13,0.07
231,56.5,1,6,0.14
232,56.57,3,2,0.6
233,56.62,1,1,0.5
234,56.7,22,34,0.39
235,56.72,1,3,0.25
236,56.83,1,3,0.25
237,56.89,3,1,0.75
238,56.94,1,4,0.2
239,56.95,1,4,0.2
240,56.98,1,4,0.2
241,57.0,10,82,0.11
242,57.25,1,1,0.5
243,57.28,1,4,0.2
244,57.33,1,2,0.33
245,57.43,1,3,0.25
246,57.5,15,37,0.29
247,57.53,1,1,0.5
248,57.6,30,44,0.41
249,57.75,1,8,0.11
250,57.8,7,31,0.18
251,57.9,1,2,0.33
252,57.92,3,1,0.75
253,57.98,1,2,0.33
254,58.0,108,347,0.24
255,58.05,3,2,0.6
256,58.36,5,1,0.83
257,58.4,1,14,0.07
258,58.45,1,3,0.25
259,58.5,2,25,0.07
260,58.6,15,1,0.94
261,58.65,1,2,0.33
262,58.67,1,1,0.5
263,58.9,7,11,0.39
264,58.95,30,27,0.53
265,59.0,98,104,0.49
266,59.16,3,1,0.75
267,59.2,1,6,0.14
268,59.4,18,32,0.36
269,59.5,13,29,0.31
270,59.66,1,2,0.33
271,59.75,1,5,0.17
272,59.91,5,3,0.62
273,60.0,555,738,0.43
274,60.06,2,14,0.12
275,60.29,2,10,0.17
276,60.3,8,10,0.44
277,60.35,1,5,0.17
278,60.36,1,1,0.5
279,60.4,1,4,0.2
280,60.5,1,9,0.1
281,60.6,1,2,0.33
282,60.64,1,1,0.5
283,60.82,1,2,0.33
284,60.83,2,6,0.25
285,60.98,4,18,0.18
286,61.0,67,85,0.44
287,61.2,7,43,0.14
288,61.25,2,1,0.67
289,61.43,1,1,0.5
290,61.5,3,25,0.11
291,61.52,2,4,0.33
292,61.56,2,6,0.25
293,61.65,1,8,0.11
294,61.67,1,2,0.33
295,61.68,1,4,0.2
296,61.8,1,7,0.12
297,62.0,2848,718,0.8
298,62.1,2,4,0.33
299,62.18,5,8,0.38
300,62.2,1,5,0.17
301,62.29,4,4,0.5
302,62.37,2,8,0.2
303,62.4,3,12,0.2
304,62.5,2,30,0.06
305,62.64,1,4,0.2
306,62.73,1,2,0.33
307,62.8,531,14,0.97
308,62.83,2,6,0.25
309,62.86,1,4,0.2
310,62.88,1,1,0.5
311,62.9,3,23,0.12
312,63.0,40,129,0.24
313,63.03,5,1,0.83
314,63.06,1,3,0.25
315,63.14,1,5,0.17
316,63.2,2,11,0.15
317,63.3,1,2,0.33
318,63.36,4,8,0.33
319,63.4,25,10,0.71
320,63.45,1,1,0.5
321,63.47,1,2,0.33
322,63.5,6,15,0.29
323,63.58,2,9,0.18
324,63.6,1,7,0.12
325,63.68,1,1,0.5
326,63.75,49,55,0.47
327,63.9,2,10,0.17
328,63.92,2,3,0.4
329,64.0,128,235,0.35
330,64.08,1,2,0.33
331,64.1,1,7,0.12
332,64.4,2,5,0.29
333,64.5,2,17,0.11
334,64.6,1,5,0.17
335,64.64,1,5,0.17
336,64.67,1,21,0.05
337,64.68,1,4,0.2
