,agent,num_cancelados,num_no_cancelados,tasa
0,1,5014,1886,0.73
1,10,64,195,0.25
2,103,2,19,0.1
3,104,5,48,0.09
4,105,4,10,0.29
5,11,102,289,0.26
6,110,4,8,0.33
7,111,2,14,0.12
8,115,12,212,0.05
9,118,28,41,0.41
10,119,187,91,0.67
11,12,284,268,0.51
12,121,3,34,0.08
13,126,2,12,0.14
14,127,2,43,0.04
15,128,2,21,0.09
16,129,1,13,0.07
17,13,25,57,0.3
18,132,44,97,0.31
19,133,36,17,0.68
20,134,284,181,0.61
21,138,39,248,0.14
22,139,1,7,0.12
23,14,652,2987,0.18
24,142,44,92,0.32
25,143,17,155,0.1
26,146,11,113,0.09
27,147,43,113,0.28
28,149,10,18,0.36
29,15,119,279,0.3
30,151,27,26,0.51
31,152,6,177,0.03
32,153,6,19,0.24
33,154,133,55,0.71
34,155,51,42,0.55
35,156,21,169,0.11
36,157,8,53,0.13
37,159,9,79,0.1
38,16,19,227,0.08
39,168,15,169,0.08
40,17,113,126,0.47
41,171,169,434,0.28
42,173,3,26,0.1
43,174,3,19,0.14
44,175,48,147,0.25
45,177,80,266,0.23
46,179,1,1,0.5
47,181,16,43,0.27
48,182,6,2,0.75
49,183,14,29,0.33
50,184,11,41,0.21
51,185,9,69,0.12
52,187,2,22,0.08
53,19,701,266,0.72
54,191,96,94,0.51
55,192,33,7,0.82
56,195,38,155,0.2
57,196,57,244,0.19
58,2,34,128,0.21
59,20,348,180,0.66
60,201,1,41,0.02
61,205,4,23,0.15
62,208,89,78,0.53
63,21,466,369,0.56
64,210,1,6,0.14
65,214,3,2,0.6
66,215,1,14,0.07
67,219,2,11,0.15
68,22,45,337,0.12
69,220,1,102,0.01
70,229,471,296,0.61
71,23,2,22,0.08
72,234,50,76,0.4
73,240,5480,8436,0.39
74,241,236,1484,0.14
75,242,260,519,0.33
76,243,28,485,0.05
77,244,1,3,0.25
78,245,24,11,0.69
79,248,76,48,0.61
80,249,31,20,0.61
81,250,513,2357,0.18
82,251,21,199,0.1
83,252,24,3,0.89
84,253,15,72,0.17
85,254,7,22,0.24
86,256,2,22,0.08
87,26,123,268,0.31
88,261,8,30,0.21
89,262,8,14,0.36
90,27,45,404,0.1
91,270,1,5,0.17
92,273,119,226,0.34
93,275,2,6,0.25
94,28,110,1554,0.07
95,281,52,29,0.64
96,29,509,133,0.79
97,290,3,16,0.16
98,296,24,18,0.57
99,298,140,325,0.3
100,3,750,561,0.57
101,30,184,274,0.4
102,305,26,19,0.58
103,306,2,33,0.06
104,307,7,7,0.5
105,308,2,50,0.04
106,31,145,8,0.95
107,310,20,5,0.8
108,313,2,34,0.06
109,314,163,764,0.18
110,315,99,181,0.35
111,32,1,14,0.07
112,324,1,8,0.11
113,326,152,4,0.97
114,327,4,16,0.2
115,33,23,6,0.79
116,330,8,117,0.06
117,331,1,1,0.5
118,332,41,14,0.75
119,334,1,27,0.04
120,336,2,21,0.09
121,339,15,62,0.19
122,34,173,113,0.6
123,341,2,2,0.5
124,348,8,14,0.36
125,35,61,44,0.58
126,355,2,2,0.5
127,36,5,94,0.05
128,368,17,27,0.39
129,37,645,496,0.57
130,375,10,30,0.25
131,378,25,9,0.74
132,38,134,131,0.51
133,385,17,42,0.29
134,387,3,29,0.09
135,39,42,82,0.34
136,390,12,42,0.22
137,393,2,11,0.15
138,394,2,31,0.06
139,4,31,15,0.67
140,40,84,955,0.08
141,405,1,4,0.2
142,410,47,86,0.35
143,411,1,15,0.06
144,42,29,182,0.14
145,420,1,2,0.33
146,423,1,18,0.05
147,425,3,13,0.19
148,429,1,4,0.2
149,434,2,31,0.06
150,436,4,45,0.08
151,44,204,58,0.78
152,440,38,18,0.68
153,45,5,27,0.16
154,464,1,96,0.01
155,468,8,41,0.16
156,47,25,24,0.51
157,481,1,7,0.12
158,484,1,10,0.09
159,493,5,30,0.14
160,495,50,7,0.88
161,5,144,181,0.44
162,50,8,12,0.4
163,509,2,8,0.2
164,52,38,99,0.28
165,526,1,9,0.1
166,53,13,4,0.76
167,531,46,22,0.68
168,56,235,112,0.68
169,57,9,19,0.32
170,58,285,39,0.88
171,6,966,2186,0.31
172,64,21,1,0.95
173,66,8,36,0.18
174,67,76,49,0.61
175,68,159,46,0.78
176,69,3,87,0.03
177,7,474,3065,0.13
178,71,40,33,0.55
179,75,10,63,0.14
180,77,2,31,0.06
181,78,28,8,0.78
182,79,7,40,0.15
183,8,426,1087,0.28
184,81,1,5,0.17
185,82,40,34,0.54
186,83,188,506,0.27
187,85,110,443,0.2
188,86,190,141,0.57
189,87,35,41,0.46
190,89,5,94,0.05
191,9,13251,18686,0.41
192,91,3,55,0.05
193,94,18,96,0.16
194,95,19,116,0.14
195,96,242,293,0.45
196,98,58,63,0.48
197,99,26,42,0.38
198,Unknown,3857,12293,0.24
