,arrival_date_week_number,num_cancelados,num_no_cancelados,tasa
0,1.0,304,590,0.34
1,2.0,317,702,0.31
2,3.0,291,821,0.26
3,4.0,415,840,0.33
4,5.0,360,816,0.31
5,6.0,330,952,0.26
6,7.0,576,1213,0.32
7,8.0,633,1195,0.35
8,9.0,576,1167,0.33
9,10.0,628,1159,0.35
10,11.0,518,1232,0.3
11,12.0,536,1219,0.31
12,13.0,733,1282,0.36
13,14.0,696,1202,0.37
14,15.0,852,1353,0.39
15,16.0,821,1202,0.41
16,17.0,950,1365,0.41
17,18.0,1110,1367,0.45
18,19.0,718,1305,0.35
19,20.0,975,1336,0.42
20,21.0,869,1499,0.37
21,22.0,822,1301,0.39
22,23.0,868,1310,0.4
23,24.0,834,1253,0.4
24,25.0,1000,1182,0.46
25,26.0,717,1269,0.36
26,27.0,809,1417,0.36
27,28.0,854,1529,0.36
28,29.0,836,1470,0.36
29,30.0,1040,1536,0.4
30,31.0,823,1469,0.36
31,32.0,971,1579,0.38
32,33.0,1236,1773,0.41
33,34.0,873,1691,0.34
34,35.0,781,1415,0.36
35,36.0,671,1139,0.37
36,37.0,698,1122,0.38
37,38.0,838,1356,0.38
38,39.0,802,1361,0.37
39,40.0,819,1179,0.41
40,41.0,885,1356,0.39
41,42.0,866,1403,0.38
42,43.0,737,1232,0.37
43,44.0,609,1278,0.32
44,45.0,598,1008,0.37
45,46.0,437,838,0.34
46,47.0,318,1119,0.22
47,48.0,322,962,0.25
48,49.0,520,941,0.36
49,50.0,469,762,0.38
50,51.0,207,602,0.26
51,52.0,302,690,0.3
52,53.0,548,990,0.36
