,company,num_cancelados,num_no_cancelados,tasa
0,107,1,7,0.12
1,110,15,14,0.52
2,113,2,14,0.12
3,120,1,8,0.11
4,127,1,10,0.09
5,135,12,21,0.36
6,143,6,6,0.5
7,148,1,23,0.04
8,150,2,10,0.17
9,153,27,105,0.2
10,154,4,73,0.05
11,169,10,26,0.28
12,174,17,68,0.2
13,178,1,11,0.08
14,179,3,9,0.25
15,186,1,6,0.14
16,195,1,14,0.07
17,197,17,6,0.74
18,20,5,23,0.18
19,203,1,6,0.14
20,204,3,15,0.17
21,216,2,8,0.2
22,218,6,15,0.29
23,219,6,82,0.07
24,221,2,10,0.17
25,223,69,376,0.16
26,227,2,15,0.12
27,233,8,60,0.12
28,238,2,20,0.09
29,242,1,33,0.03
30,263,1,6,0.14
31,269,3,18,0.14
32,270,4,21,0.16
33,274,1,8,0.11
34,275,1,1,0.5
35,277,1,2,0.33
36,280,11,18,0.38
37,281,13,69,0.16
38,286,3,11,0.21
39,292,2,9,0.18
40,307,2,24,0.08
41,308,8,13,0.38
42,31,1,5,0.17
43,317,1,4,0.2
44,329,3,5,0.38
45,331,5,29,0.15
46,334,1,2,0.33
47,34,1,3,0.25
48,342,2,29,0.06
49,350,1,1,0.5
50,355,2,7,0.22
51,365,3,13,0.19
52,366,3,11,0.21
53,367,2,7,0.22
54,370,1,1,0.5
55,38,5,24,0.17
56,383,1,4,0.2
57,390,1,7,0.12
58,392,2,1,0.67
59,394,1,1,0.5
60,395,1,3,0.25
61,397,2,5,0.29
62,40,45,487,0.08
63,405,13,51,0.2
64,407,1,9,0.1
65,409,1,5,0.17
66,418,1,13,0.07
67,421,1,4,0.2
68,428,2,5,0.29
69,43,9,6,0.6
70,435,1,7,0.12
71,45,14,131,0.1
72,450,1,7,0.12
73,46,1,13,0.07
74,466,1,1,0.5
75,47,5,33,0.13
76,477,1,14,0.07
77,498,7,29,0.19
78,504,2,7,0.22
79,51,22,31,0.42
80,521,1,2,0.33
81,53,1,3,0.25
82,530,1,3,0.25
83,59,1,4,0.2
84,62,2,28,0.07
85,67,90,60,0.6
86,68,3,25,0.11
87,72,1,18,0.05
88,73,1,1,0.5
89,78,1,12,0.08
90,81,1,13,0.07
91,82,1,3,0.25
92,86,4,13,0.24
93,88,2,10,0.17
94,9,2,26,0.07
95,91,1,17,0.06
96,93,1,1,0.5
97,94,9,41,0.18
98,Unknown,42451,71705,0.37
