,days_in_waiting_list,num_cancelados,num_no_cancelados,tasa
0,0,40880,73572,0.36
1,1,3,9,0.25
2,2,1,4,0.2
3,4,8,17,0.32
4,5,5,3,0.62
5,7,3,1,0.75
6,8,4,3,0.57
7,9,14,2,0.88
8,10,26,1,0.96
9,11,4,3,0.57
10,12,1,2,0.33
11,13,1,3,0.25
12,14,3,6,0.33
13,15,28,25,0.53
14,17,36,10,0.78
15,18,2,1,0.67
16,20,25,2,0.93
17,21,35,1,0.97
18,22,50,3,0.94
19,23,2,1,0.67
20,25,17,8,0.68
21,27,3,23,0.12
22,28,47,1,0.98
23,31,110,1,0.99
24,33,1,29,0.03
25,34,12,14,0.46
26,35,92,2,0.98
27,38,28,47,0.37
28,40,18,9,0.67
29,43,1,18,0.05
30,44,108,29,0.79
31,46,84,1,0.99
32,47,1,23,0.04
33,48,19,32,0.37
34,49,1,17,0.06
35,50,47,31,0.6
36,53,1,5,0.17
37,56,22,21,0.51
38,59,5,9,0.36
39,60,35,4,0.9
40,61,1,17,0.06
41,63,31,51,0.38
42,68,29,13,0.69
43,69,69,16,0.81
44,75,20,20,0.5
45,77,26,37,0.41
46,80,17,7,0.71
47,84,1,1,0.5
48,87,4,72,0.05
49,93,38,1,0.97
50,96,21,24,0.47
51,98,29,30,0.49
52,99,4,15,0.21
53,100,2,1,0.67
54,101,47,17,0.73
55,107,3,2,0.6
56,108,12,8,0.6
57,111,54,12,0.82
58,113,1,5,0.17
59,121,1,1,0.5
60,122,2,51,0.04
61,125,1,15,0.06
62,147,9,21,0.3
63,162,16,12,0.57
64,174,15,4,0.79
65,176,11,39,0.22
66,178,5,24,0.17
67,187,22,22,0.5
68,207,4,10,0.29
69,215,12,8,0.6
70,223,25,34,0.42
71,224,6,4,0.6
72,236,6,28,0.18
73,330,1,14,0.07
74,379,7,5,0.58
