,fecha,num_cancelados,num_no_cancelados,tasa
0,1-1-2016,30,32,0.48
1,1-1-2017,24,75,0.24
2,1-10-2015,40,84,0.32
3,1-10-2016,104,62,0.63
4,1-11-2015,9,46,0.16
5,1-11-2016,98,80,0.55
6,1-12-2015,30,43,0.41
7,1-12-2016,67,72,0.48
8,1-2-2016,40,45,0.47
9,1-2-2017,56,56,0.5
10,1-3-2016,36,88,0.29
11,1-3-2017,26,101,0.2
12,1-4-2016,32,72,0.31
13,1-4-2017,40,84,0.32
14,1-5-2016,46,59,0.44
15,1-5-2017,70,114,0.38
16,1-6-2016,50,85,0.37
17,1-6-2017,78,121,0.39
18,1-7-2015,19,95,0.17
19,1-7-2016,86,89,0.49
20,1-7-2017,57,109,0.34
21,1-8-2015,48,56,0.46
22,1-8-2016,73,130,0.36
23,1-8-2017,72,94,0.43
24,1-9-2015,31,79,0.28
25,1-9-2016,59,107,0.36
26,10-1-2016,13,35,0.27
27,10-1-2017,7,81,0.08
28,10-10-2015,111,120,0.48
29,10-10-2016,60,133,0.31
30,10-11-2015,19,35,0.35
31,10-11-2016,33,95,0.26
32,10-12-2015,3,76,0.04
33,10-12-2016,27,66,0.29
34,10-2-2016,27,63,0.3
35,10-2-2017,61,100,0.38
36,10-3-2016,24,78,0.24
37,10-3-2017,39,127,0.23
38,10-4-2016,46,80,0.37
39,10-4-2017,55,114,0.33
40,10-5-2016,48,101,0.32
41,10-5-2017,66,82,0.45
42,10-6-2016,51,130,0.28
43,10-6-2017,39,91,0.3
44,10-7-2015,9,39,0.19
45,10-7-2016,17,81,0.17
46,10-7-2017,64,110,0.37
47,10-8-2015,81,125,0.39
48,10-8-2016,48,70,0.41
49,10-8-2017,56,87,0.39
50,10-9-2015,65,61,0.52
51,10-9-2016,26,85,0.23
52,11-1-2016,4,39,0.09
53,11-1-2017,12,43,0.22
54,11-10-2015,33,65,0.34
55,11-10-2016,51,123,0.29
56,11-11-2015,19,46,0.29
57,11-11-2016,60,135,0.31
58,11-12-2015,7,40,0.15
59,11-12-2016,8,28,0.22
