,lead_time,num_cancelados,num_no_cancelados,tasa
0,0,429,5912,0.07
1,1,314,3137,0.09
2,2,213,1856,0.1
3,3,182,1633,0.1
4,4,176,1539,0.1
5,5,204,1358,0.13
6,6,201,1242,0.14
7,7,172,1158,0.13
8,8,223,913,0.2
9,9,217,772,0.22
10,10,221,754,0.23
11,11,221,832,0.21
12,12,278,800,0.26
13,13,168,653,0.2
14,14,215,748,0.22
15,15,249,587,0.3
16,16,234,708,0.25
17,17,234,647,0.27
18,18,260,564,0.32
19,19,257,576,0.31
20,20,218,531,0.29
21,21,191,487,0.28
22,22,213,491,0.3
23,23,210,430,0.33
24,24,178,487,0.27
25,25,208,444,0.32
26,26,233,436,0.35
27,27,243,403,0.38
28,28,324,481,0.4
29,29,209,502,0.29
30,30,242,416,0.37
31,31,189,496,0.28
32,32,227,460,0.33
33,33,225,409,0.35
34,34,307,498,0.38
35,35,210,442,0.32
36,36,197,462,0.3
37,37,297,354,0.46
38,38,271,296,0.48
39,39,219,442,0.33
40,40,229,489,0.32
41,41,194,411,0.32
42,42,159,305,0.34
43,43,156,323,0.33
44,44,242,380,0.39
45,45,198,334,0.37
46,46,179,315,0.36
47,47,155,412,0.27
48,48,134,371,0.27
49,49,187,291,0.39
50,50,209,316,0.4
51,51,124,242,0.34
52,52,191,244,0.44
53,53,155,373,0.29
54,54,212,258,0.45
55,55,180,386,0.32
56,56,336,320,0.51
57,57,141,316,0.31
58,58,151,249,0.38
59,59,211,305,0.41
60,60,169,265,0.39
61,61,218,287,0.43
62,62,157,253,0.38
63,63,127,271,0.32
64,64,138,284,0.33
65,65,193,251,0.43
66,66,181,278,0.39
67,67,175,259,0.4
68,68,239,301,0.44
69,69,223,324,0.41
70,70,123,260,0.32
71,71,186,223,0.45
72,72,187,334,0.36
73,73,151,250,0.38
74,74,228,280,0.45
75,75,175,248,0.41
76,76,123,226,0.35
77,77,135,220,0.38
78,78,169,214,0.44
79,79,137,220,0.38
80,80,153,283,0.35
81,81,135,223,0.38
82,82,161,232,0.41
83,83,104,273,0.28
84,84,84,260,0.24
85,85,141,203,0.41
86,86,189,267,0.41
87,87,239,196,0.55
88,88,188,253,0.43
89,89,120,191,0.39
90,90,79,214,0.27
91,91,134,198,0.4
92,92,239,192,0.55
93,93,160,186,0.46
94,94,127,205,0.38
95,95,171,213,0.45
96,96,136,231,0.37
97,97,147,198,0.43
98,98,157,263,0.37
99,99,210,213,0.5
100,100,154,189,0.45
101,101,157,192,0.45
102,102,197,253,0.44
103,103,191,178,0.52
104,104,230,177,0.57
105,105,220,175,0.56
106,106,145,105,0.58
107,107,81,184,0.31
108,108,107,159,0.4
109,109,130,165,0.44
110,110,115,182,0.39
111,111,149,176,0.46
112,112,161,259,0.38
113,113,226,141,0.62
114,114,98,145,0.4
115,115,164,251,0.4
116,116,145,248,0.37
117,117,118,178,0.4
118,118,83,208,0.29
119,119,74,168,0.31
120,120,111,141,0.44
121,121,109,152,0.42
122,122,85,202,0.3
123,123,112,160,0.41
124,124,127,181,0.41
125,125,105,140,0.43
126,126,106,144,0.42
127,127,94,137,0.41
128,128,120,180,0.4
129,129,149,146,0.51
130,130,143,150,0.49
131,131,131,166,0.44
132,132,78,179,0.3
133,133,78,184,0.3
134,134,180,194,0.48
135,135,145,138,0.51
136,136,85,153,0.36
137,137,124,158,0.44
138,138,90,165,0.35
139,139,111,110,0.5
140,140,132,198,0.4
141,141,108,165,0.4
142,142,123,135,0.48
143,143,154,143,0.52
144,144,103,116,0.47
145,145,93,148,0.39
146,146,102,137,0.43
147,147,104,113,0.48
148,148,168,108,0.61
149,149,107,88,0.55
150,150,160,155,0.51
151,151,149,213,0.41
152,152,100,212,0.32
153,153,103,136,0.43
154,154,49,130,0.27
155,155,130,123,0.51
156,156,142,145,0.49
157,157,113,131,0.46
158,158,153,153,0.5
159,159,83,210,0.28
160,160,78,128,0.38
161,161,137,91,0.6
162,162,151,148,0.51
163,163,102,114,0.47
164,164,154,189,0.45
165,165,95,142,0.4
166,166,153,123,0.55
167,167,74,116,0.39
168,168,163,155,0.51
169,169,135,188,0.42
170,170,64,110,0.37
171,171,61,147,0.29
172,172,108,143,0.43
173,173,98,116,0.46
174,174,122,137,0.47
175,175,147,127,0.54
176,176,61,98,0.38
177,177,117,133,0.47
178,178,204,111,0.65
179,179,117,114,0.51
180,180,110,159,0.41
181,181,150,140,0.52
182,182,74,80,0.48
183,183,145,144,0.5
184,184,102,100,0.5
185,185,76,133,0.36
186,186,127,108,0.54
187,187,62,69,0.47
188,188,146,90,0.62
189,189,88,129,0.41
190,190,63,97,0.39
191,191,47,127,0.27
192,192,74,214,0.26
193,193,89,100,0.47
194,194,38,82,0.32
195,195,94,93,0.5
