,total_nights,num_cancelados,num_no_cancelados,tasa
0,0,35,678,0.05
1,1,5178,15725,0.25
2,2,11686,15347,0.43
3,3,10976,15637,0.41
4,4,6260,10998,0.36
5,5,2636,5119,0.34
6,6,1513,2320,0.39
7,7,2961,5681,0.34
8,8,441,720,0.38
9,9,312,528,0.37
10,10,356,783,0.31
11,11,120,276,0.3
12,12,97,125,0.44
13,13,51,91,0.36
14,14,257,659,0.28
15,15,36,39,0.48
16,16,22,18,0.55
17,17,5,15,0.25
18,18,29,6,0.83
19,19,16,6,0.73
20,20,13,1,0.93
21,21,35,36,0.49
22,22,4,10,0.29
23,23,6,2,0.75
24,24,5,1,0.83
25,25,23,14,0.62
26,27,4,1,0.8
27,28,12,23,0.34
28,29,11,3,0.79
29,30,11,2,0.85
30,42,1,3,0.25
31,56,1,1,0.5
