,dtypes,non_null,null,unique_values
hotel,object,119390,63487,3
is_canceled,object,119390,63487,3
lead_time,float64,119490,63387,580
arrival_date_year,float64,64829,118048,4
arrival_date_month,object,119390,63487,16
arrival_date_week_number,float64,101004,81873,54
arrival_date_day_of_month,float64,119271,63606,32
stays_in_weekend_nights,float64,119490,63387,118
stays_in_week_nights,float64,119490,63387,136
adults,float64,119428,63449,31
children,float64,69302,113575,15
babies,float64,119431,63446,15
meal,object,119390,63487,6
country,object,65054,117823,164
market_segment,object,59934,122943,9
distribution_channel,object,105899,76978,6
is_repeated_guest,float64,114376,68501,3
previous_cancellations,float64,76228,106649,22
previous_bookings_not_canceled,float64,119390,63487,74
reserved_room_type,object,79275,103602,11
assigned_room_type,object,119390,63487,13
booking_changes,float64,119418,63459,23
agent,float64,103050,79827,334
company,float64,3870,179007,311
days_in_waiting_list,float64,119390,63487,129
customer_type,object,94199,88678,5
adr,float64,119390,63487,8880
required_car_parking_spaces,float64,119390,63487,6
total_of_special_requests,float64,119390,63487,7
reservation_status,object,119390,63487,4
reservation_status_date,object,106514,76363,992
0,object,42951,139926,1589
