,country,2013_deaths,2014_deaths,2015_deaths,2016_deaths,2017_deaths,2018_deaths,2019_deaths,2020_deaths,2021_deaths,2013_population,2014_population,2015_population,2016_population,2017_population,2018_population,2019_population,2020_population,2021_population,2013_tasa,2014_tasa,2015_tasa,2016_tasa,2017_tasa,2018_tasa,2019_tasa,2020_tasa,2021_tasa
0,Austria,79526,78252,83073,80669,83270,83975,83386,91599,91962,8451860,8507786,8584926,8700471,8772865,8822267,8858775,8901064,8932664,0.00940928978946646,0.009197692560673246,0.009676612238707707,0.009271796894673863,0.009491768082604714,0.009518528514269632,0.009412813848415837,0.010290792201921029,0.010295025089939574
1,Belgium,109334,104755,110541,108097,109666,110693,108783,126896,112331,11137974,11180840,11237274,11311117,11351727,11398589,11455519,11522440,11554767,0.009816327457758475,0.009369152943785977,0.009836994274590083,0.00955670425829739,0.009660732679705917,0.009711114244052488,0.009496121476469116,0.011012945174806724,0.009721615329846115
2,Bulgaria,104345,108952,110117,107580,109791,108526,108083,124735,148995,7284552,7245677,7202198,7153784,7101859,7050034,7000039,6951482,6916548,0.01432414786798145,0.015036828166643366,0.015289360275849123,0.01503819517055589,0.015459473357609606,0.015393684626201803,0.015440342546662954,0.01794365575570792,0.02154181536801306
3,Czechia,109160,105665,111173,107750,111443,112920,112362,129289,139891,10516125,10512419,10538275,10553843,10578820,10610055,10649800,10693939,10701777,0.010380249378929977,0.010051444867256528,0.010549449506679224,0.010209551155915432,0.010534539769085777,0.010642734651234135,0.01055062066893275,0.012089932437430211,0.013071754345096146
4,Denmark,52470,51340,52555,52824,53261,55232,53958,54645,57152,5602628,5627235,5659715,5707251,5748769,5781190,5806081,5822763,5840045,0.009365247880101981,0.009123486045988838,0.009285803260411523,0.009255594330790779,0.009264766074267378,0.009553742395596754,0.009293359841173418,0.00938471993450532,0.009786225962299949
5,Estonia,15244,15484,15243,15392,15543,15751,15401,15811,18587,1320174,1315819,1314870,1315944,1315635,1319133,1324820,1328976,1330068,0.011546962748849773,0.011767575935596006,0.01159278103538753,0.011696546357595764,0.01181406697146245,0.011940418441506655,0.011624975468365514,0.011897129820252586,0.013974473485566151
6,Finland,51472,52186,52492,53923,53722,54527,53949,55488,57659,5426674,5451270,5471753,5487308,5503297,5513130,5517919,5525292,5533793,0.009484999467445437,0.009573182029141833,0.009593269286826361,0.009826858634507121,0.00976178461747567,0.009890388944211365,0.009777055444271654,0.010042546167695753,0.01041943563844907
7,France,569365,559435,593807,594005,606410,609747,613388,669064,661779,65600350,66165980,66458153,66638391,66809816,67026224,67177636,67320216,67656682,0.008679298204963845,0.008455024772549277,0.00893505120432703,0.008913855678178064,0.009076660232083261,0.00909714084445515,0.009130836339641365,0.009938530203171066,0.009781428536504348
8,Germany,893825,868356,925200,910902,932272,954874,939520,985572,1023687,80523746,80767463,81197537,82175684,82521653,82792351,83019213,83166711,83155031,0.011100141814068114,0.010751309596043644,0.01139443429176922,0.011084811901291871,0.011297301570049743,0.01153336012888437,0.011316898414828384,0.01185055881312897,0.012310584070373325
9,Iceland,2154,2049,2178,2309,2238,2254,2275,2304,2333,321857,325671,329100,332529,338349,348450,356991,364134,368792,0.0066924130902854375,0.006291625597612314,0.0066180492251595256,0.006943755281494246,0.00661447203922577,0.006468646864686469,0.006372709676154301,0.0063273410337952515,0.006326059133603765
