,Austria,Belgium,Bulgaria,Czechia,Denmark,Estonia,Finland,France,Germany,Iceland,Italy,Latvia,Liechtenstein,Lithuania,Luxembourg,Malta,Netherlands,Norway,Poland,Portugal,Serbia,Slovakia,Slovenia,Spain,Sweden,Switzerland
2013,8451860,11137974,7284552,10516125,5602628,1320174,5426674,65600350,80523746,321857,59685227,2023825,36838,2971905,537039,422509,16779575,5051275,38062535,10487289,7181505,5410836,2058821,46727890,9555893,8039060
2014,8507786,11180840,7245677,10512419,5627235,1315819,5451270,66165980,80767463,325671,60782668,2001468,37129,2943472,549680,429424,16829289,5107970,38017856,10427301,7146759,5415949,2061085,46512199,9644864,8139631
2015,8584926,11237274,7202198,10538275,5659715,1314870,5471753,66458153,81197537,329100,60795612,1986096,37366,2921262,562958,439691,16900726,5166493,38005614,10374822,7114393,5421349,2062874,46449565,9747355,8237666
2016,8700471,11311117,7153784,10553843,5707251,1315944,5487308,66638391,82175684,332529,60665551,1968957,37622,2888558,576249,450415,16979120,5210721,37967209,10341330,7076372,5426252,2064188,46440099,9851017,8327126
2017,8772865,11351727,7101859,10578820,5748769,1315635,5503297,66809816,82521653,338349,60589445,1950116,37810,2847904,590667,460297,17081507,5258317,37972964,10309573,7040272,5435343,2065895,46528024,9995153,8419550
2018,8822267,11398589,7050034,10610055,5781190,1319133,5513130,67026224,82792351,348450,60483973,1934379,38114,2808901,602005,475701,17181084,5295619,37976687,10291027,7001444,5443120,2066880,46658447,10120242,8484130
2019,8858775,11455519,7000039,10649800,5806081,1324820,5517919,67177636,83019213,356991,59816673,1919968,38378,2794184,613894,493559,17282163,5328212,37972812,10276617,6963764,5450421,2080908,46937060,10230185,8544527
2020,8901064,11522440,6951482,10693939,5822763,1328976,5525292,67320216,83166711,364134,59641488,1907675,38747,2794090,626108,514564,17407585,5367580,37958138,10295909,6926705,5457873,2095861,47332614,10327589,8606033
2021,8932664,11554767,6916548,10701777,5840045,1330068,5533793,67656682,83155031,368792,59236213,1893223,39055,2795680,634730,516100,17475415,5391369,37840001,10298252,6871547,5459781,2108977,47398695,10379295,8670300
2022,8978929,11617623,6838937,10516707,5873420,1331796,5548241,67871925,83237124,376248,59030133,1875757,39308,2805685,645397,520971,17590672,5425270,37654247,10352042,6797105,5434712,2107180,47432893,10452326,8738791
