country,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Austria,8451860,8507786,8584926,8700471,8772865,8822267,8858775,8901064,8932664,8978929
Belgium,11137974,11180840,11237274,11311117,11351727,11398589,11455519,11522440,11554767,11617623
Bulgaria,7284552,7245677,7202198,7153784,7101859,7050034,7000039,6951482,6916548,6838937
Czechia,10516125,10512419,10538275,10553843,10578820,10610055,10649800,10693939,10701777,10516707
Denmark,5602628,5627235,5659715,5707251,5748769,5781190,5806081,5822763,5840045,5873420
Estonia,1320174,1315819,1314870,1315944,1315635,1319133,1324820,1328976,1330068,1331796
Finland,5426674,5451270,5471753,5487308,5503297,5513130,5517919,5525292,5533793,5548241
France,65600350,66165980,66458153,66638391,66809816,67026224,67177636,67320216,67656682,67871925
Germany,80523746,80767463,81197537,82175684,82521653,82792351,83019213,83166711,83155031,83237124
Iceland,321857,325671,329100,332529,338349,348450,356991,364134,368792,376248
Italy,59685227,60782668,60795612,60665551,60589445,60483973,59816673,59641488,59236213,59030133
Latvia,2023825,2001468,1986096,1968957,1950116,1934379,1919968,1907675,1893223,1875757
Liechtenstein,36838,37129,37366,37622,37810,38114,38378,38747,39055,39308
Lithuania,2971905,2943472,2921262,2888558,2847904,2808901,2794184,2794090,2795680,2805685
Luxembourg,537039,549680,562958,576249,590667,602005,613894,626108,634730,645397
Malta,422509,429424,439691,450415,460297,475701,493559,514564,516100,520971
Netherlands,16779575,16829289,16900726,16979120,17081507,17181084,17282163,17407585,17475415,17590672
Norway,5051275,5107970,5166493,5210721,5258317,5295619,5328212,5367580,5391369,5425270
Poland,38062535,38017856,38005614,37967209,37972964,37976687,37972812,37958138,37840001,37654247
Portugal,10487289,10427301,10374822,10341330,10309573,10291027,10276617,10295909,10298252,10352042
Serbia,7181505,7146759,7114393,7076372,7040272,7001444,6963764,6926705,6871547,6797105
Slovakia,5410836,5415949,5421349,5426252,5435343,5443120,5450421,5457873,5459781,5434712
Slovenia,2058821,2061085,2062874,2064188,2065895,2066880,2080908,2095861,2108977,2107180
Spain,46727890,46512199,46449565,46440099,46528024,46658447,46937060,47332614,47398695,47432893
Sweden,9555893,9644864,9747355,9851017,9995153,10120242,10230185,10327589,10379295,10452326
Switzerland,8039060,8139631,8237666,8327126,8419550,8484130,8544527,8606033,8670300,8738791
