,age,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,0,1149,1202,1117,1097,1064,998,949,883,855
1,1,103,94,80,109,94,83,80,74,67
2,2,77,69,58,55,49,45,56,41,38
3,3,48,44,39,31,39,48,43,45,38
4,4,53,45,29,44,31,45,44,22,33
5,5,40,46,41,36,30,43,26,29,34
6,6,46,38,35,38,38,32,25,27,28
7,7,44,47,38,25,27,29,29,28,42
8,8,39,33,40,34,42,39,24,29,36
9,9,43,21,40,39,32,29,31,20,26
10,10,29,29,35,32,31,33,39,25,40
11,11,34,33,33,35,30,37,40,42,39
12,12,44,36,36,36,39,34,23,31,41
13,13,44,45,45,34,41,37,53,37,42
14,14,34,61,43,38,57,51,52,50,50
15,15,57,51,55,60,48,58,50,52,69
16,16,59,55,61,72,77,73,68,61,66
17,17,64,59,77,57,79,72,72,70,86
18,18,96,82,81,76,88,102,88,86,93
19,19,90,96,100,111,92,81,96,104,101
20,20,110,120,94,100,108,98,98,120,117
21,21,117,125,102,84,106,110,101,106,130
22,22,119,130,102,116,104,98,102,109,126
23,23,114,128,126,121,119,118,114,136,117
24,24,120,125,123,110,132,138,120,112,148
25,25,142,127,139,109,146,124,144,165,148
26,26,153,134,132,145,139,158,132,142,125
27,27,166,150,153,151,151,127,155,162,155
28,28,166,157,162,140,155,173,145,162,153
29,29,197,165,181,172,176,192,158,167,168
30,30,223,209,163,216,181,197,180,207,217
31,31,218,243,206,208,176,205,204,230,186
32,32,251,245,237,202,223,197,204,253,226
33,33,307,302,245,255,249,225,199,244,241
34,34,345,316,297,287,259,281,244,252,279
35,35,374,331,331,314,313,307,263,270,284
36,36,433,353,400,362,337,332,286,328,315
37,37,457,409,418,399,411,355,352,388,368
38,38,489,472,479,423,487,416,412,407,416
39,39,581,505,506,517,479,483,480,504,470
40,40,584,611,560,604,596,562,488,570,555
41,41,675,674,635,667,592,629,546,598,592
42,42,788,727,734,642,666,672,642,698,636
43,43,833,839,828,741,759,788,717,793,749
44,44,941,934,863,845,809,746,740,851,841
45,45,1112,1094,1010,963,926,893,875,997,938
46,46,1191,1168,1066,1013,1014,1017,980,1010,1074
47,47,1348,1291,1278,1178,1229,1147,1153,1177,1126
48,48,1490,1455,1409,1438,1340,1266,1263,1336,1253
49,49,1654,1631,1506,1445,1458,1435,1429,1468,1404
50,50,1762,1711,1726,1668,1675,1621,1527,1618,1538
51,51,1861,1846,1932,1890,1850,1782,1785,1763,1765
52,52,2077,1986,2029,2097,2040,1878,1947,2127,1900
53,53,2186,2078,2161,2191,2100,2150,2106,2346,2253
54,54,2292,2307,2301,2283,2289,2441,2398,2460,2359
55,55,2482,2520,2546,2410,2431,2526,2520,2762,2605
56,56,2596,2605,2669,2702,2677,2662,2749,2971,2864
57,57,2629,2633,2943,2860,2884,2861,2825,3134,3115
58,58,2680,2768,2959,2985,3027,3134,2922,3371,3256
59,59,2859,2929,3144,3062,3215,3268,3282,3526,3597
60,60,3190,3077,3226,3226,3278,3500,3488,3901,3776
61,61,3200,3356,3213,3376,3373,3648,3748,4138,4214
62,62,3262,3454,3666,3386,3544,3770,3809,4409,4363
63,63,3648,3509,3630,3828,3816,3892,3884,4613,4775
64,64,4075,3721,3757,3972,3924,4054,4100,4768,4726
65,65,4432,4281,3991,4107,4198,4305,4251,4958,5032
66,66,4153,4653,4636,4382,4392,4548,4612,5092,5167
67,67,4601,4401,5076,4785,4675,4683,4798,5632,5448
68,68,4837,5005,4875,5425,5279,4860,4744,5711,5740
69,69,5383,5228,5466,5087,5629,5698,5194,6010,5910
70,70,5473,5767,5949,5617,5498,6158,5789,6508,6106
71,71,4862,5710,6236,6232,6208,5988,6462,7235,6515
72,72,5809,5239,6256,6538,6561,6555,6301,8099,7519
73,73,6173,6279,5739,6652,7060,7015,7065,7680,8159
74,74,5719,6647,6899,6239,7344,7559,7577,9121,7861
75,75,7244,6228,7276,7553,6525,7627,8036,9662,8868
76,76,8561,7545,6862,7773,7963,7256,8068,10300,9440
77,77,9684,9424,8752,7170,8423,8566,7468,10729,10243
78,78,10414,10370,10461,8765,7792,9168,8994,9677,10582
79,79,11789,11330,11873,10953,9760,8429,9236,11833,9498
80,80,12939,12633,12740,12009,11792,10680,8808,12312,11644
81,81,13543,13657,14320,12934,13446,12805,10928,11522,11909
82,82,14573,14478,15650,14468,14287,14295,13228,14323,10961
83,83,15219,15376,16346,15794,15684,15139,14752,16732,13431
84,84,15692,15928,17350,16472,17221,16852,15655,19022,15975
85,85,15825,16475,17869,17530,17716,17922,17057,19781,17258
86,86,16376,16350,18162,17489,18172,18468,18150,21160,18296
87,87,15936,16552,17938,17579,18695,18781,18324,22247,19368
88,88,16131,16159,17859,17037,18473,18683,18495,22213,19966
89,89,15175,15670,17211,16821,18110,18261,17902,21898,19383
90,90,14620,15087,16707,15967,17161,17476,17516,21137,18776
91,91,13153,13933,15164,14900,15696,16292,15942,19661,17435
92,92,11262,12227,13869,13569,14295,14358,14630,17657,16136
93,93,9182,10200,12156,11783,12812,12926,12893,15498,13731
94,94,7142,8296,9555,10168,10901,11240,10857,13184,11963
95,95,6196,6145,7682,7871,8912,9303,9170,11242,10044
96,96,4849,5102,5529,5968,6938,7450,7423,9074,7987
97,97,3756,3967,4541,4172,5082,5438,5812,7068,6364
98,98,2911,3001,3386,3297,3464,3866,4059,5036,4707
99,99,2167,2259,2452,2344,2576,2500,2838,3512,3352
100,100,4129,4276,5105,4819,5306,5358,5164,6296,5888
