,0-9,10-19,20-29,30-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90+,date
1,37,14,28,64,73,153,212,268,366,499,614,993,1465,1559,1569,2012-12-31
2,29,12,25,69,75,147,224,296,353,476,566,1102,1531,1738,1779,2013-01-07
3,35,14,35,82,89,141,212,268,380,498,586,1136,1528,1758,1800,2013-01-14
4,31,13,28,74,60,135,216,248,344,491,541,1066,1603,1763,1715,2013-01-21
5,35,10,25,69,73,131,198,294,387,494,572,1037,1619,1755,1660,2013-01-28
6,39,11,30,75,82,130,226,269,352,484,631,1033,1501,1750,1707,2013-02-04
7,35,8,32,84,86,133,209,271,383,458,584,1090,1633,1807,1796,2013-02-11
8,37,6,23,73,73,121,211,281,351,515,567,1068,1596,1813,1773,2013-02-18
9,36,11,31,78,93,149,210,306,326,471,602,1067,1550,1787,1755,2013-02-25
10,21,8,23,71,70,147,187,291,370,483,576,1103,1584,1891,1914,2013-03-04
11,23,9,28,69,67,142,201,288,357,469,543,983,1511,1575,1682,2013-03-11
12,33,9,15,80,73,163,203,278,361,494,549,964,1521,1752,1636,2013-03-18
13,39,8,23,83,84,140,218,246,343,446,549,923,1368,1602,1631,2013-03-25
14,34,9,35,69,68,119,183,277,386,431,518,1007,1379,1510,1536,2013-04-01
15,37,10,26,70,79,117,191,260,359,426,586,916,1377,1513,1584,2013-04-08
16,24,16,32,72,72,121,196,212,340,454,511,893,1369,1497,1444,2013-04-15
17,33,9,26,73,65,139,202,258,320,462,505,837,1314,1445,1332,2013-04-22
18,31,11,27,70,75,123,170,222,332,423,546,901,1299,1452,1372,2013-04-29
19,39,8,24,78,62,114,162,242,353,379,527,879,1313,1522,1464,2013-05-06
20,31,13,27,61,78,117,187,255,350,449,502,899,1228,1433,1402,2013-05-13
21,26,9,24,74,76,148,175,260,335,445,477,860,1307,1335,1389,2013-05-20
22,22,8,26,64,99,113,201,252,341,405,510,905,1273,1372,1397,2013-05-27
