,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
2013,453294,475616,481415,492831,519609,501018,497160,486932,481849,473572,454994,451693,451288,440838,427889,430216,426017,425122,432388,451867,470394,472820,483689,500066,516666,532641,552538,577925,605871,630658,671705,704229,742007,765298,801539,813391,828438,822595,816752,795946,792698,778723,768528,760504,754216,757201,736754,730876,739629,703717,679546,662721,665531,646206,630955,614251,572252,553959,527649,526832,523550,489024,477358,495147,517209,471948,449741,468280,444214,434710,373353,341556,415666,274762,308303,340134,365911,347940,336964,335156,320048,291324,279262,248484,230089,199081,182301,156834,137182,116419,98407,76630,59414,41604,32909,24058,17872,13101,9708,6626,12087
2014,424881,453016,472652,479520,490544,517578,499066,495565,485609,480681,472464,453947,450927,450406,440098,427036,429584,425640,425659,432651,451986,470141,471980,482902,497608,512336,526425,545447,568986,596114,619820,660077,692695,729807,753808,790450,803226,818131,813313,807650,787984,784778,771101,761184,753772,747544,751120,731380,725474,734348,698441,674746,658248,660498,641439,626464,609659,568208,549899,523572,522650,519582,485116,473601,490943,512867,467624,445265,462995,438683,428772,367723,336029,408286,269149,301272,331883,356134,337453,325496,322395,306438,277427,263923,233077,213940,183221,165932,140639,121449,101543,84239,64413,49092,33792,25942,18669,13647,9824,7184,13605
2015,426459,426471,452560,472391,478812,489531,516354,498243,495018,485231,480430,471933,453983,451133,450530,440338,427394,430209,427490,427864,435372,454362,472175,473647,483744,497427,511372,524168,542542,564831,591237,614534,654107,686418,723568,747765,784375,797240,812506,807903,802552,783092,780073,767033,756918,749697,743748,747478,727995,722090,730731,695017,671388,654920,656942,637968,622817,606020,565024,546545,520356,519437,516160,481700,470183,487256,508607,463244,440598,457809,433116,422626,362105,330529,400653,263506,294024,323280,345894,326362,313631,309081,292233,262716,247903,217094,197119,167036,149271,124903,106016,87043,71132,53186,39785,26871,20141,14328,10170,7267,15479
2016,419395,429530,427406,453587,472844,478775,489084,515810,498218,495316,485583,480591,472348,454806,452107,451532,441430,428671,433197,430800,431466,438875,457815,475744,476731,486560,499355,512283,524106,541862,563692,589301,612556,651483,683371,720138,744486,781077,793895,809424,804459,799101,779976,776896,764383,754164,747038,741080,744857,725755,719688,728122,692311,668802,652137,654229,635054,619737,602863,561728,543435,517349,516191,512764,478566,466994,483378,503798,458372,435592,451961,426910,416252,356105,324498,392475,257348,286267,313673,334366,314224,300230,293939,276038,246349,230069,199478,178766,149568,131442,108231,90091,72483,57875,42468,30942,20524,15034,10391,7298,10735
2017,409900,423504,432142,429740,455354,474005,479377,489669,516402,499170,496478,486947,481873,474062,456556,454188,453735,444011,432937,438141,436120,436451,444002,463278,481100,481884,491431,503384,515550,526519,543363,564834,589999,612505,651081,682740,719426,743418,779647,792207,807676,802658,797398,778184,775195,762919,752551,745362,739230,743032,724119,717937,726051,690291,666591,649883,652011,632499,617099,600353,559128,540763,514712,513224,509408,475421,463609,479342,498881,453365,430248,446075,420576,409343,349600,317834,383547,250841,278137,303755,322462,301758,286509,278705,259776,229573,212292,182272,161208,132779,114821,92951,75918,59943,46724,33528,24028,15747,11221,7654,12177
2018,392563,415792,428572,436247,433052,457964,475915,480747,491371,517976,500924,498221,488788,484065,476367,459179,457057,457171,450058,440381,446030,444295,445250,453268,472637,490287,490686,499610,510399,521362,531498,547399,567973,592465,614076,652184,683915,719483,743063,779063,791391,806704,801368,796217,776946,773827,761823,751157,743754,737294,741197,722405,716096,724013,688398,664333,647591,649390,629768,614089,597636,556373,538027,511745,510058,506145,472188,459690,474770,493338,447886,424325,439301,413476,401656,342278,310405,373771,243294,268856,292513,309331,287504,271335,261958,242000,211526,193577,163676,142541,115160,97963,77811,62325,47916,36656,25495,17872,11590,8138,11228
2019,371989,398493,421914,433831,441276,437302,461787,479213,483939,494645,521132,503823,501217,491959,487597,480166,463711,462400,465904,459980,450576,456985,456132,458095,466534,486069,503479,502782,511490,521300,531765,540556,555248,575250,598839,619900,657414,688728,723779,746584,781887,793569,808541,802934,797650,778172,774964,762816,751902,744286,737469,741303,722249,715722,723344,687546,663432,646446,647948,628144,612131,595752,554330,535791,509374,507450,503356,468912,456140,470395,488072,442495,418536,432599,406284,393951,334869,302698,363371,235563,259060,280704,295327,272487,255491,244281,223606,192936,174536,145266,124349,98386,82325,64166,49954,37735,27978,19020,13103,8493,11681
2020,359941,378390,405115,428395,440044,447314,442843,466798,484246,489007,499353,525576,508033,505681,496417,492663,485681,470259,473087,478303,472617,463583,471089,470963,473933,482656,501906,518448,516822,525148,533950,543687,551101,564847,584670,607641,627818,664689,695162,729756,752122,786642,797598,812289,806338,800583,781321,777430,765337,753958,746118,738804,742462,723146,716394,723621,687884,663196,646241,647337,627393,610731,594014,552616,534091,507327,505264,500621,465797,452750,466130,482895,437003,412702,425594,398924,385942,327414,295013,352887,227824,249140,268469,280943,257303,239262,226520,205060,174885,155994,127674,107284,83306,68274,52226,39980,29405,21258,14089,9624,12533
2021,340976,363342,382090,408307,431538,443189,450110,445296,469297,486639,491426,501455,527751,510100,507798,498768,495257,488788,475599,479899,484826,479235,470814,479127,478741,481786,490995,509795,525859,523425,531524,539727,549064,555941,569339,588701,611355,631354,667524,697491,731583,753756,787915,798493,813007,806859,800955,781401,777614,765224,753583,745588,738108,741402,721870,715152,722268,686169,661370,644205,644847,624687,607645,590743,549082,530137,503649,500876,495373,460621,446949,459501,475091,429265,404429,416008,388842,374863,317163,284718,338710,217270,236088,252740,262503,237735,218812,204490,182655,153058,134121,107293,88246,66922,53637,39984,29836,21387,15081,9848,13020
2022,337549,345218,366776,384994,411344,434163,446057,452939,448130,472118,489211,493808,503574,529739,512317,510146,501375,498628,495219,483581,486969,491729,485837,477753,486046,485171,488363,496621,514483,530052,527236,534892,542566,551096,557502,570738,589841,612210,632169,667851,697372,731142,752792,786595,797108,811413,805556,799295,779901,776091,763544,751842,743722,735925,739074,719839,712921,719929,683623,658532,641309,641311,621115,603687,586613,544882,525647,499211,495767,489623,454940,440796,452406,466985,421064,396178,406337,378670,364037,306799,274301,324581,207208,223431,237647,245123,219783,199905,184252,162621,134110,115536,90303,73218,54091,42322,31052,22575,15935,11007,14288
