,sex,age,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,F,0,219646,206305,206335,203447,199294,190476,180825,174857,166335,163355
1,F,1,230560,219473,207092,207849,205462,202147,193291,183952,176491,168406
2,F,2,233093,229099,219289,207521,209112,207897,205129,196436,185762,178185
3,F,3,237960,232165,228890,219766,208616,211157,210463,208253,197983,187158
4,F,4,251245,236883,231869,229115,220626,210148,213566,213505,209725,199502
5,F,5,242495,250259,236444,231893,229597,221884,212217,216440,215066,210983
6,F,6,240755,241600,249605,236286,232209,230457,223745,214743,217836,216459
7,F,7,236681,239903,241219,249361,236519,232880,232075,226155,215989,219145
8,F,8,233385,235955,239646,241123,249715,237416,234469,234499,227346,217338
9,F,9,230734,232829,235774,239705,241495,250470,238910,236955,235637,228542
10,F,10,221035,230150,232810,235953,240180,242352,251975,241127,238141,236786
11,F,11,220010,220517,229798,232808,236627,241038,243752,254172,242141,239207
12,F,12,218262,219630,220522,230009,233394,237508,242466,245737,255152,243179
13,F,13,214528,217723,219669,220902,230706,234472,238969,244622,246756,256099
14,F,14,206769,214199,217726,220160,221630,231843,236145,240997,245615,247754
15,F,15,209264,206358,214277,218185,221068,222757,233508,238449,242050,246678
16,F,16,207498,208831,206448,214680,219127,222281,224575,235730,239544,242972
17,F,17,205914,207132,208990,206862,215700,220463,224110,226790,236835,240600
18,F,18,209188,206153,208109,210540,208828,218351,224085,228390,228927,239375
19,F,19,219266,209854,207501,209924,213174,212541,223130,229855,231627,232547
20,F,20,229477,220201,211669,209714,212996,217460,217723,229463,233155,235014
21,F,21,230924,230136,221930,213901,212637,217647,223202,224199,232804,236480
22,F,22,237947,231439,231882,224230,217094,217672,224023,230531,228079,236332
23,F,23,247016,238435,232915,234254,227643,222368,224569,231693,234689,231624
24,F,24,256576,246645,239362,234905,237223,232866,229401,232456,235709,238016
25,F,25,265078,255044,246970,241344,237856,242275,239837,237475,236527,238795
26,F,26,275837,262646,254965,248182,244104,242539,248929,247604,241511,239638
27,F,27,287894,273053,261977,255678,250410,248411,248506,256263,251509,244135
28,F,28,301433,283984,272061,262459,257602,254130,254349,255304,259910,253638
29,F,29,313170,297627,282481,272153,263905,260661,259663,260922,258434,261854
30,F,30,332502,308997,295776,282274,273175,266513,265667,265871,263958,260200
31,F,31,347067,328064,306870,295339,283232,275476,270983,271532,268622,265540
32,F,32,364815,342722,325721,306569,296126,285189,279428,276129,274162,270096
33,F,33,375931,360338,340521,325162,307051,297756,289013,284335,278502,275412
34,F,34,391443,371795,358172,339654,325570,308404,301181,293855,286665,279392
35,F,35,395433,387448,369591,357365,340031,326778,311745,305806,296022,287601
36,F,36,403532,391914,385578,368696,357847,341353,329911,315972,307854,296883
37,F,37,399739,399977,389979,384707,368893,358725,344335,334014,318015,308764
38,F,38,397694,396591,398363,389143,384994,369592,361550,348125,335816,318797
39,F,39,387403,394761,394982,397694,389230,385705,372129,365157,349786,336615
40,F,40,386039,384796,393271,393991,397655,389820,387982,375574,366577,350408
41,F,41,380189,383408,383331,392404,393914,398114,391785,391123,376973,367028
42,F,42,375501,377764,382029,382531,392348,394279,399892,394560,392369,377213
43,F,43,373434,373188,376630,381304,382314,392869,395902,402585,395541,392473
44,F,44,370849,371233,371954,375987,381179,382643,394436,398451,403607,395778
45,F,45,373861,368687,369953,371341,376034,381275,384023,396556,399279,403612
46,F,46,364155,371761,367445,369287,371317,376443,382683,386307,397438,399416
47,F,47,362847,362324,370705,366856,369063,371677,377757,384845,386937,397318
48,F,48,367894,361055,361380,370120,366689,369071,372939,379830,385670,386947
49,F,49,350226,366057,360195,360774,369861,366620,370123,374814,380422,385711
50,F,50,339573,348353,365070,359672,360635,369875,367643,371930,375350,380341
51,F,51,332224,337931,347305,364408,359522,360657,370848,369251,372324,375185
52,F,52,333985,330757,336927,346598,364052,359566,361467,372305,369591,372046
53,F,53,324869,332267,329684,336321,346313,363963,360251,362850,372470,369248
54,F,54,317991,323201,331123,328927,335997,346211,364539,361435,362991,372074
55,F,55,310586,316369,322091,330374,328530,335759,346761,365672,361555,362706
56,F,56,289806,308863,315236,321353,329976,328187,336214,347897,365769,361273
57,F,57,281184,288503,307687,314351,320839,329533,328481,337038,347731,365350
58,F,58,269322,279736,287525,306839,313829,320301,329738,329121,336927,347165
59,F,59,268386,267811,278702,286563,306346,313178,320361,330305,328793,336241
60,F,60,266500,266926,266824,277880,286110,305835,313134,320823,329855,328168
61,F,61,250570,265138,266006,266043,277337,285597,305726,313231,320213,328930
62,F,62,245260,249233,264055,265253,265520,276837,285554,305720,312570,319189
63,F,63,256454,244055,248244,263115,264550,264843,276633,285549,304995,311549
64,F,64,267943,255115,243087,247424,262351,263893,264545,276815,284658,303791
65,F,65,245325,266616,254065,242277,246553,261586,263502,264452,275745,283429
66,F,66,235495,243907,265342,252896,241417,245792,261089,263286,263410,274431
67,F,67,245955,234014,242537,263890,251811,240329,245045,260744,261981,262054
68,F,68,234058,244105,232531,241042,262460,250446,239394,244377,259173,260405
69,F,69,229915,232103,242412,230989,239484,260766,249269,238721,242785,257298
70,F,70,197954,227800,230194,240637,229309,237638,259189,248077,236906,240941
71,F,71,181997,195956,225723,228179,238738,227310,236030,257751,245898,234787
72,F,72,223839,180015,194054,223535,226076,236467,225494,234425,255122,243515
73,F,73,150678,221096,178161,192053,221238,223607,234257,223568,231754,252323
74,F,74,169579,148587,218387,176038,189782,218503,221074,231937,220617,228750
75,F,75,188689,166997,146542,215512,173737,187041,215760,218477,228439,217570
76,F,76,206529,185539,164202,144191,212279,170956,184343,212820,214729,224784
77,F,77,196781,202581,182282,161252,141786,208536,168004,181485,208538,210818
78,F,78,192827,192562,198458,178450,158007,138747,204481,165040,177514,204245
